elements,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
H,0.37902753997805666,0.01755708024424572,0.020295694947748664,0.025079755255604675,0.04560006150470432,0.055826614914059866,0.03986655279984929,0.026657443731507063,0.03210141765572882,0.1062476409344285,0.03963085541407624,0.11378040188614429,0.11297609350931419,0.050693496016046724,0.09327143799106798,0.060383717322162946,0.11431757621596486,0.11283047142524691,0.0901403706351055,0.062412941753382946,0.0598893732615227,0.09179603848753869,0.007450538581734742,0.08027722829881326,0.04480802082294415,0.04198763395281327,0.04323359181932037,0.03673988496958014,0.037084469231024916,0.03819820999146699,0.03078497872269689,0.03183571594800358,0.03302268332280555,0.06307842403891978,0.026692955772022537,0.028974499096822832,0.030436988153418172,0.24410075008434287,0.06394363812624348,0.14098088123918606,0.16079915889006874,0.06247565304511285,0.04392728018784781,0.1341001808966118,0.13641822455428287,0.0707066384678711,0.0997259148478621,0.1394855500306662,0.10120219551115678,0.12285228229029023,0.09219910526794182,0.07453760014898726,0.06845737331055823,0.09908865310068034,0.10751360041741329,0.10585122191778226,0.07919590981003839,0.0678181613543403,0.09055386868376021,0.014062526571645938,0.08714972735643065,0.0446953271011926,0.04818995549520725,0.04991845312664178,0.0389189487605794,0.046302793511169,0.046249035507072295,0.03177571587979485,0.03678301552733767,0.03910847513106596,0.07825720121862423,0.02926937271916236,0.03797009587863941,0.03906778115559487
He,0.0030595238095238097,0.0005,0.0005,0.0005,0.006023809523809524,0.04807142857142858,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.1411190476190476,0.09963095238095238,0.055785714285714286,0.011023809523809524,0.007261904761904762,0.0785238095238095,0.04980952380952381,0.0005,0.0005,0.0005,0.0013095238095238095,0.012690476190476186,0.018880952380952377,0.0005,0.0005,0.0005,0.7311428571428571,0.08488095238095236,0.10296428571428573,0.38816666666666666,0.0320390448941931,0.019267768410264854,0.05158913904681229,0.1264754407375569,0.08426906083530364,0.09271436387266092,0.01826861035148936,0.0535841446568212,0.07548237246695295,0.014348458024500868,0.0456840070187045,0.012047510316300263,0.022591123535759015,0.021772120733841046,0.0024234932209183093,0.0022198440729829572,0.005071501814808178,0.10551912121345541,0.07938913796053265,0.04329151563510209,0.006953355496237462,0.013819562560697057,0.06104429413571942,0.06598937980452674,0.01938185626774006,0.02279794213380864,0.04047577138375343,0.005657196481447553,0.01567165546516877,0.02367758186643694,0.006140419638788069,0.006249980163251357,0.012382065442959687,0.3672102014910992,0.012827707468517377,0.051057441265644696,0.20283364021958097
Li,0.07467965211792967,0.06554113755439181,0.09543422542403066,0.09249703068111226,0.041720878474380614,0.05847616774709204,0.08828232394991621,0.10193019048042014,0.06863737678714184,0.1495873368262155,0.2539137343486397,0.14229492829233728,0.19937530525708325,0.182688421321376,0.05842172098392697,0.08842349702513162,0.09842522866530581,0.12561144103543245,0.25168421432377464,0.16154216432821353,0.06401162196963003,0.07420058165349482,0.053831037430068576,0.12874054813071742,0.024272511322262498,0.03718533544978233,0.04418096194831711,0.0341644669656334,0.05649820175828102,0.06470753041470607,0.019890057499333775,0.031135717298641216,0.03780144969363278,0.14756084606163025,0.03172536852854967,0.048041687017138825,0.06311731862179218,0.09478112265207297,0.05432010706386106,0.0920923424494448,0.12104009700446092,0.07691337142407832,0.06060812672666164,0.11653059654970618,0.10948356292870941,0.0883806700794494,0.12268573561589662,0.20941074067691334,0.13507982790641504,0.17263916959255185,0.15881188923291928,0.050129798717971415,0.06996130472439384,0.08086113870218618,0.10704091116135324,0.18777132625400933,0.12318018912030332,0.07631856610861946,0.08503934764890399,0.04868718795801019,0.10149654745419458,0.03078932168596742,0.04165178858146375,0.04869090023654978,0.03169864654013459,0.04594980962522704,0.0572978670981697,0.022607060130134436,0.02950381480723067,0.03966712457959391,0.12802136923198315,0.02981755273319722,0.03968396672354341,0.05823015530085197
Be,0.02065140156453714,0.008240547588005239,0.03560001086484129,0.04448133963494113,0.007409197088222526,0.011691710126032203,0.07961223381138596,0.09493668513689657,0.030815868100825688,0.08810938179052583,0.41990275966970764,0.05161106584093849,0.16491001195132543,0.16409254128639714,0.03502197414167745,0.0489114515428072,0.059564971751412045,0.09291066384180742,0.05037250108648393,0.039663352890047694,0.04816525423728797,0.044505758365927635,0.03145298239895698,0.06706165797479323,0.043426961103867776,0.04597226749239449,0.11615335723598405,0.06138632659713143,0.05654514341590603,0.1771765265102121,0.013420089091699283,0.020121523250760567,0.029599087353324668,0.2248504454584952,0.01894162863972191,0.03395390591047366,0.1403791286397211,0.05485916014082704,0.017845651089043752,0.05874595631831996,0.12310886830769728,0.06675220209320544,0.0367161305601923,0.12092404092027259,0.09805952522989733,0.05418129386039389,0.06297343150223225,0.16329548648278464,0.05986531513171316,0.09362777371875504,0.07970472002913198,0.036239334539617335,0.03808152162036985,0.048779153701576955,0.08404603927897947,0.05561239775110085,0.037668911760087534,0.03878044230461001,0.04358527921264001,0.019250514092718607,0.06300097306950743,0.057518302005173466,0.049091291302574544,0.11416053808186583,0.06497129240979835,0.051221993987348065,0.16351597550579028,0.02015237900695072,0.019552394874878986,0.026299510256966935,0.21559378636154536,0.02705968326943465,0.03595209046167577,0.12717288266337032
B,0.055004431292435575,0.02319166841915506,0.08280017124316585,0.130104762512769,0.03512033587694534,0.015329789551162579,0.33294950579823507,0.18130593943399773,0.05080783212161283,0.07049029997596627,0.2284502380880869,0.05845588610827399,0.11201518656492286,0.10872675824671087,0.09138055413687511,0.08040531679985619,0.08961698236495877,0.13985527323799918,0.1056233326323383,0.1142668201345916,0.08144736525866784,0.09987079027218677,0.019647100132187612,0.09773215090428457,0.0398050456648441,0.05588282235774817,0.07982474613951868,0.03915765637204841,0.04671191717238496,0.06355307411524379,0.03490917728174015,0.03381854984077386,0.049618112720062765,0.1128263684431897,0.032606061857838084,0.03171267950489692,0.04997265366820897,0.10931243510236642,0.048969859553107196,0.11611946205011046,0.18904495134408575,0.07455845328495837,0.03332937460017101,0.1739642023464216,0.11723832507158277,0.05906546949527166,0.0724220005178661,0.10638611078834023,0.07228610576392325,0.08752322013734012,0.07341645850058841,0.07061563234592495,0.06675735284069916,0.07712886972784774,0.11115879950810807,0.08955197326917783,0.08137000053205053,0.06499059800911416,0.08191551634623741,0.013092943551370213,0.0892809999072495,0.043007809453153516,0.046967080699459346,0.06715668739056743,0.04162674751943481,0.044573107276584666,0.06150780427126682,0.03520831068115724,0.035221353572904006,0.05197273120349795,0.11889793423427816,0.03488452353928533,0.038852951563411446,0.055985546150329434
C,0.20228774486120904,0.03220303990249472,0.08597084175158158,0.14620738536542555,0.07989601084855957,0.21869528779427358,0.26819027802178497,0.19089688103917818,0.06684369509838387,0.11253126647048507,0.13391028801387952,0.1145195394852426,0.13092281930780084,0.08632846539002134,0.07130811885101937,0.0723288057800425,0.10538374033731598,0.10865323315618416,0.1439105378162333,0.09281561017656369,0.07350870739634607,0.10794164507203136,0.010961349262122236,0.08825819406623345,0.04500998934908662,0.046993571020730956,0.04871860451071686,0.032821152494729555,0.039076760694834956,0.03999383729356998,0.02993470550773022,0.03339403164529167,0.03562391020291637,0.07885415660137061,0.0261988563993324,0.030020074776001444,0.03428638879128618,0.24929338987083172,0.05379218221897172,0.0862512809950127,0.10197718800514138,0.06839094881205804,0.11258902830445046,0.11729902055317001,0.10106983159942177,0.07080928027726262,0.096018308985144,0.10127935612003235,0.10266745221930222,0.11122470346109785,0.08119606653465122,0.06816561434244084,0.07348018898871674,0.09389417055037212,0.09725718614496705,0.12488828943173556,0.08648542499308161,0.062475022112715994,0.0873135800996758,0.012832425350256856,0.08031359222594577,0.03971141580520977,0.04757187769189577,0.04781492898173546,0.03391476194127259,0.04386763304829863,0.04395462152010818,0.02893382620588478,0.03453973721794779,0.037293246067282466,0.08879477710945895,0.027189734865510233,0.04033450208417779,0.04194770349968015
N,0.19659743190508117,0.057097919705152156,0.15162417714533563,0.22183540935787813,0.10633142073002508,0.10789784776695999,0.20957831162048213,0.17117235109779683,0.08102167507588033,0.10824594485395597,0.1606313758918367,0.11373867958926256,0.13711411565296203,0.11580189158027511,0.06065361021325261,0.07237817809137166,0.0938754138909695,0.09841622403326919,0.11307280046513506,0.08011289615278505,0.0626908973550398,0.0806843145177186,0.019727440478536803,0.08141438862391136,0.037843310240845224,0.04711309570735942,0.05184016417675131,0.03268288314478302,0.04233055352989864,0.04808364539398487,0.027495089972013144,0.03427820124955662,0.04030013747092907,0.09170758603019474,0.02802380612164449,0.03591209005084947,0.04494592071031579,0.2105713649635505,0.054945022003629516,0.10463055678037834,0.1310563876032755,0.07478437950359591,0.10341655546991796,0.11747046190753849,0.10458215559315065,0.0695423295098021,0.10460157628486748,0.12946535604099896,0.10796991584588021,0.1274667658574735,0.10168529374906896,0.06459467526629735,0.07127214411609217,0.09473865985909476,0.0997852857566458,0.12815610999458538,0.08785481712216962,0.06259777108645273,0.08466130149874568,0.01702270962759628,0.0857947622947221,0.03796369314160179,0.04484176624763115,0.04983903676054198,0.03442149912819022,0.04471815412857326,0.049523949269744606,0.02827206776142493,0.03497266709821348,0.040365141552716394,0.09986940162609201,0.02797757792037551,0.04086460815175322,0.04746524060842211
O,0.16883331624199474,0.04905604065071268,0.11342865901467787,0.23330628542109963,0.24736554876982725,0.14360958803933582,0.13834710407717546,0.12886627064073392,0.12202271035459439,0.10472892873281585,0.11920317202920032,0.12681575110886414,0.13891982290459098,0.12299975640639434,0.05172185577644674,0.05410191576536471,0.07588350526659797,0.07704149227897385,0.067984448170543,0.05316917735631838,0.05783548941973283,0.07226444649615227,0.004909022411284173,0.08124367749349744,0.05013951592621381,0.03863100057292411,0.05478988244296986,0.045561797798142345,0.03894369793585954,0.05740995543027134,0.03685079547013405,0.03318835636012995,0.04951641575460554,0.10726587124136236,0.03415832558899553,0.031506296281103977,0.051154526100323644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.17223404370744788,0.045419960849555734,0.0757806716154762,0.13086527455040367,0.1849705761354093,0.1150443991356167,0.08125792276602879,0.07723324804021754,0.06507565845984155,0.06367096447526657,0.0715348601705261,0.06826177903959348,0.07713354325084336,0.0673751435365603,0.05098707266792675,0.054666671940976214,0.06539556867602808,0.08403109657411054,0.06715086257561113,0.05661015696344456,0.05531696263076547,0.06555619625855587,0.006322873624535431,0.07655811535366552,0.04344731869185083,0.039516953137008565,0.06323782312679166,0.05201538666714904,0.044125930162117306,0.07687616524561733,0.04223285924827552,0.03737447445275283,0.0689303090443858,0.14987212135733644,0.04124482590258523,0.038508765902042656,0.07746459280825355,0.14624147829650383,0.049677606533204875,0.0750318867363555,0.11110291290749298,0.13694722524090594,0.09522237176259658,0.07162044754595176,0.07236263478436254,0.06158244360381116,0.08138041606150478,0.08578465465412016,0.08682492380087556,0.0946444590334998,0.07941067391646273,0.05304319732225021,0.06434540342557817,0.07419195645643802,0.0961531793124033,0.13908119226514662,0.09591037748579406,0.06537922265783057,0.08199844121974323,0.019644109410778803,0.0978313745702556,0.040017514287646286,0.045932631379408416,0.06488264574809521,0.04668093309362895,0.04913209841762746,0.07343684584801509,0.036203049217932166,0.03629774913269322,0.06033852072750316,0.14169118130782993,0.03628145303049338,0.04229901665544643,0.07196533258249338
Ne,0.12053153153153161,0.05754504504504504,0.07985135135135138,0.05307207207207208,0.007617117117117111,0.002418918918918919,0.03627927927927926,0.06516216216216211,0.15790540540540532,0.16025675675675669,0.06704504504504498,0.1450180180180179,0.12254504504504508,0.09857657657657665,0.05999099099099097,0.06607207207207207,0.06459009009009008,0.03944819819819817,0.03679729729729728,0.030123873873873885,0.035617117117117125,0.03907207207207205,0.014211711711711704,0.11030180180180188,0.023103603603603615,0.02081981981981983,0.0181846846846847,0.01598648648648648,0.03339639639639642,0.025644144144144156,0.013936936936936935,0.021486486486486496,0.022545045045045058,0.41576126126126095,0.017502252252252243,0.07900675675675675,0.2519054054054055,0.11945888221763114,0.03287391466718034,0.04924325986404089,0.045881257791862085,0.08046240179125944,0.11546845785241143,0.04331849128592496,0.04919399387633294,0.08501146750844941,0.15798564157067232,0.08727872587230037,0.15188109146771567,0.15421344330966943,0.12100814949680383,0.0571895102381378,0.08487310255436437,0.08411878350656472,0.10297866659370608,0.1658008376389586,0.09700185020028888,0.028557201146397274,0.04426227995346822,0.025706190169297236,0.14785034962136806,0.027276868168068305,0.02273308449637083,0.02442549735668453,0.024978011429156944,0.03868302554647776,0.029679765527018818,0.026056071468262755,0.03264327874729838,0.027717755448013623,0.41812252723385235,0.026627629731375693,0.09512995758574357,0.22921945372722477
