element,Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
H,1.0,92.0,1.00794,14.01,1.0,1.0,31.0,2.2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.615,7.853,0.0,194.0,0.0,7.6660113,0.0,0.0,0.0,0.0,9.924782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.352706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0520965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.445984,0.0,13.2825775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.21149,0.0,0.0,1.0859731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.64776,0.0,0.0,0.0,0.0,0.0,0.0,9.93527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2110705,0.0,9.196404,0.0,5.4970026,0.0,0.0,0.0,0.0,38.536682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5951846,1.3262144,0.0,0.0,0.0,0.0,25.273449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55607,0.0,0.0,0.0,15.810642,0.0,0.0,0.0,0.0,0.0,22.822926,0.0,0.0,0.66639966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040542983,0.0,0.0,0.0,0.0,10.851718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
He,2.0,98.0,4.002602,1211.4,18.0,1.0,28.0,1.63,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.305,18.098,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81927603,0.0,0.0,0.0,7.062851,0.0,4.822449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5264587,4.6926017,0.0,5.8468523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.482943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.127186,0.0,5.362666,0.0,0.0,0.0,0.0,0.0,0.0,7.0011945,0.0,0.0,0.0,24.426779,0.0,0.0,0.13648038,6.2009788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.441544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.980874,0.0,0.0,26.146654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.727602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5394908,8.085334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9485664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.577383,0.0,6.275949,0.0,0.0,0.0,2.0857801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.712447,0.0,4.7648463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38700366,0.0,0.0,0.0,0.0,0.0,0.0,3.0849206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6920743,0.0,6.0140486,0.0,0.0,0.0,0.0,0.0,0.53486586,0.0,9.013466,0.0
Li,3.0,1.0,6.941,453.69,1.0,2.0,128.0,0.98,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.5933333333,0.0,0.0,229.0,0.0,6.507262,0.0,0.0,0.0,0.0,15.301344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.002807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.299511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.839581,0.0,22.419306,0.0,0.0,0.0,0.0,5.3155637,15.595039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.657384,16.481216,0.0,0.0,0.0,0.0,0.0,12.853007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3316693,0.0,0.0,0.0,5.906049,0.0,0.0,0.0,0.0,7.400747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.678724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.91095,0.0,0.0,0.0,6.747895,0.0,0.0,0.0,0.0,0.0,8.422561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.484843,0.0,0.0,33.16968,0.0,0.0,0.0,0.0,0.0,0.0,6.296158,0.0,7.4029403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Be,4.0,67.0,9.012182,1560.0,2.0,2.0,96.0,1.57,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,43.98596,0.0,1.7272503,0.0,0.0,0.0,10.757309,0.0,0.0,0.0,0.0,0.49862736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9550037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.69666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.238949,0.0,0.0,0.0,0.0,0.0,0.0,12.540372,0.0,0.0,3.662093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99417865,0.0,0.0,0.0,13.830517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.023697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50136906,0.419621,0.0,0.0,0.0,0.0,8.804716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1369836,8.594247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93836766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0257661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,5.0,72.0,10.811,2348.0,13.0,2.0,84.0,2.04,2.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,7.1725,1.524,0.0,166.0,0.0,0.3357921,0.0,0.0,0.0,0.0,39.390987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009311712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.198363,0.0,2.808215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.595108,0.0,0.0,0.0,0.0,0.0,6.297072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3823223,2.683236,0.0,0.0,0.0,0.0,0.0,7.26549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0119667,0.0,0.0,0.0,0.0,0.0,0.0,41.979458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854755,0.0,0.0,0.0,0.0,0.0,13.172907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.382477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3891459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.934536,0.0,0.0,0.0,0.0,3.0781763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,0.0,194.0,0.0,5.5280085,0.0,0.0,0.0,0.0,15.3942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.636517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6276193,0.0,9.077697,0.0,0.0,1.1235181,0.0,0.0,1.2882504,0.0,50.03826,0.0,0.0,0.04099476,0.0,2.8013504,13.828822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.94031,0.0,0.0,0.0,0.0,0.0,0.0,11.142886,0.0,0.0,0.0,0.87661266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3568625,0.0,9.861057,0.0,8.078697,0.0,0.0,0.0,0.0,25.724787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8804276,0.48416004,0.0,0.0,0.0,0.0,29.709656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.916098,0.0,0.0,0.0,23.760345,0.0,0.0,0.0,0.0,0.0,17.918806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.501247,0.0,0.0,0.0,0.0,4.560128,0.0,0.0,0.0,0.26979032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,7.0,82.0,14.0067,63.05,15.0,2.0,71.0,3.04,2.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,3.0,14.76875,6.437,0.0,194.0,0.0,8.660734,0.0,0.0,0.0,0.0,17.218908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6859398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4674106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8534427,0.0,6.085046,0.0,0.0,0.20733263,0.0,0.0,1.8430028,0.0,43.214455,0.0,0.0,0.0,0.0,3.315862,12.551854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.736105,2.575291,0.0,0.0,0.0,0.0,0.0,12.76421,0.0,0.0,0.0,1.0279208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76029,0.0,8.038984,0.0,6.267054,0.0,0.0,0.0,0.0,23.067442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11331107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19420654,0.0,0.0,0.0,0.0,0.0,32.258667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.669502,0.0,0.0,0.0,19.40725,0.0,0.0,0.0,0.0,0.0,16.386417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.581438,0.0,0.0,0.0,0.0,2.433357,0.0,0.0,0.0,2.390101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0,0.0,6.7651334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9047747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2344837,0.0,0.0,4.3648868,0.0,0.0,25.960747,0.0,22.242193,0.0,0.0,3.2602317,0.0,27.741165,18.938492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.403355,0.0,0.0,0.0,0.0,0.0,0.0,11.448718,0.0,0.0,0.0,5.3352337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.31513,0.0,11.103656,0.0,10.870299,0.0,0.0,0.0,0.0,8.15748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6472194,0.0,0.0,0.0,0.0,40.502445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.59133,0.0,0.0,0.0,48.45889,0.0,0.0,0.0,0.0,0.0,17.137224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.300797,0.0,0.0,0.0,0.0,0.6012214,0.0,10.105432,0.0,3.2273102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,9.0,93.0,18.9984032,53.5,17.0,2.0,57.0,3.98,2.0,5.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,9.7075,1.97,0.0,15.0,0.0,6.928799,0.0,0.0,0.0,0.0,19.309975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1125124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.661433,0.0,8.569023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.169296,0.0,0.0,0.0,0.0,0.0,9.400475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.247398,0.0,0.0,0.0,0.0,0.0,0.0,11.564987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2667007,0.0,8.655246,0.0,4.5690913,0.0,0.0,0.0,0.0,31.494627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2900739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7192128,0.0,0.0,0.0,0.0,0.0,28.392052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.16976,0.0,0.0,0.0,16.105537,0.0,0.0,0.0,0.0,0.0,17.224508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.597006,0.0,0.0,0.0,0.0,5.207989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ne,10.0,99.0,20.1791,24.56,18.0,2.0,58.0,1.63,2.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.64,13.088,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5101373,0.0,0.061161373,0.0,1.489442,0.0,1.5810668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0508171,0.7091815,0.0,1.068213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2046938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15516675,0.0,0.3481569,0.0,1.0059701,0.0,0.8409886,0.0,0.0,0.0,0.0,0.0,0.0,1.3426777,0.0,0.0,0.0,8.680343,0.0,0.0,0.0,0.8245477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9295266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0275434,0.0,0.0,7.2501626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4777337,0.0,0.66537935,0.0,0.0,0.0,0.0,0.0,0.0,1.1055214,0.0,0.05457817,0.0,0.0,0.0,0.0,0.0,0.0,0.028235115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964136,0.0,0.9847917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4929718,0.0,1.5445763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95273286,0.0,1.2067822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70923185,0.0
