formula,Li_features,natoms_insum
Li7La3Zr2O12,"[25.422  0.03   0.03   0.366 20.862 16.014  2.334  7.47   6.27   4.194
  4.446  2.466  5.634  5.694  4.59   4.734  5.262  4.974  4.242  4.014
  4.29   6.126  6.628  4.146  3.522  2.766  3.246  3.102  2.238  2.718
  2.766  2.286  2.238  3.858  1.422  4.158  3.282]",60
LiF,"[0.4995 0.002  0.002  0.002  0.002  0.002  1.548  1.058  0.744  0.596
 0.198  0.622  0.674  0.55   1.2875 1.518  1.338  1.346  1.0795 1.272
 0.448  0.708  0.074  0.452  0.002  0.002  0.002  0.45   0.768  0.4235
 0.166  0.352  0.17   0.002  0.002  0.002  0.002 ]",4
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5415e+00 2.7550e-01 4.3000e-02
 6.5550e-01]",3
LiAlH4,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.490e-01 1.011e+00 1.933e+00 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 2.330e-01 7.900e-02 3.230e-01 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3N,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li10GeP2S12,"[ 5.712  1.332  9.652 14.02  12.428 10.824 12.708 12.132  3.568  6.304
 10.052  6.86   6.776  3.636  4.1    2.388  2.196  4.348  4.944  4.04
  2.02   2.148  0.457  4.372  2.704  2.852  4.244  3.384  4.02   4.664
  0.932  0.836  1.316  5.956  2.244  2.308  2.836]",40
LiBH4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li7La3Zr2O12,"[ 3.282    2.058    0.186    0.018    0.018    0.018    0.018    0.018
  0.018    8.868   16.062    9.4065  13.572   13.614    5.322    8.13
  7.914    7.746   10.842    5.226    0.018    0.018    6.19275 14.25
  4.53     3.738    4.29     4.998    6.684    7.752    0.018    0.018
  0.018    5.442    3.402    2.61     2.706  ]",36
