formula,target
Li9.54Si1.74P1.44S11.7Cl0.3,-1.602
Li6.25PS5.25Cl0.75,-1.854
Li10Ge(PS6)2,-1.886
Li10GeP2S12,-1.921
Li10Ge0.95Si0.05P2S12,-2.066
Li5PS4(BH4)2,-2.099
Li10.35Si1.35P1.65S12,-2.187
Li9.81Sn0.81P2.19S12,-2.26
Li2P2S6,-2.337
Li10SnP2S12,-2.398
Li7P3S11,-2.495
Li3.35Ge0.35P0.65S4,-2.612
Li6.35P0.65Si0.35S5Br,-2.638
Li6.50P0.50Si0.50S5Br,-2.638
Li10SiP2S12,-2.638
Li3.25Ge0.25P0.75S4,-2.658
La0.55Li0.361Ti0.995Al0.005O3,-2.666
Li6.4La3Zr1.4Ta0.6O12,-2.686
Li6.20P0.80Si0.20S5Br,-2.703
Li3OCl0.5Br0.5,-2.712
Li6.30P0.70Si0.30S5Br,-2.738
La0.57Li0.29TiO3,-2.796
LiTa2PO8,-2.796
Li9.6P3S12,-2.801
Li6.25P0.75Si0.25S5Br,-2.824
Sm0.52Li0.38TiO2.97,-2.824
Li6.55La3Zr2Ga0.9O12,-2.886
Li1.4Al0.4Ge0.2Ti1.4(PO4)3,-2.889
La0.561Li0.315Ti0.995Al0.0067O3,-2.893
La0.55Li0.36Ti0.995Al0.005O3,-2.959
Li6.22P0.78Si0.22S5Br,-2.967
Li6.7La3Zr1.7Ta0.3O12,-2.987
Li0.34La0.51TiO2.94,-2.991
Li6.5La3Zr1.75Te0.25O12,-2.991
Li6.5La3Zr1.75Te0.25O12 ,-2.991
Li1.45Al0.45Ge0.2Ti1.35(PO4)3,-2.996
Li3P,-3.0
LiLa(TiO3)2,-3.0
La0.5Li0.375Na0.125TiO3,-3.0
Li0.245La0.592Ti0.98Mn0.02O3,-3.0
Li6.4La3Zr1.4Ta0.6O12 ,-3.0
Li0.5(La0.4Nd0.1)TiO3,-3.0
Li1.40Al0.4Ge0.2Ti1.4(PO4)3,-3.0
Li3.6Ge0.4P0.6S4,-3.016
Li7.06La3Zr1.94Y0.06O12,-3.02
Li0.27La0.59TiO3 ,-3.022
Li3O(Cl0.5Br0.5),-3.028
Li6.17P0.83Si0.17S5Br,-3.032
Li6.5La3Zr1.5Ta0.5O12 ,-3.036
Li1.4Al0.4Ti1.6(PO4)3,-3.038
Li6.13P0.87Si0.13S5Br,-3.045
Li6.4La3Zr2Ga0.2O12 ,-3.046
Li6.12P0.90Si0.12S5Br,-3.046
Li6.75La3Zr1.75Ta0.25O12,-3.048
La0.54Li0.36TiO3,-3.051
Li1.8Sc0.8Ti1.2(PO4)3,-3.056
Li6.02P0.98Si0.02S5 Br,-3.058
Li6.08P0.92Si0.08S5Br,-3.063
Li3OCl,-3.071
Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,-3.081
Li1.076Al0.6923Ti1.462(PO4)3,-3.084
Li7.06La3Y0.06Zr1.94O12 ,-3.092
Li6.10P0.90Si0.10S5Br,-3.094
Li11AlP2S12,-3.096
Li6.75La3Zr1.75Nb0.25O12 ,-3.097
Li6.5La3Zr1.5Ta0.5O12,-3.1
Li1.3Sc0.3Ti1.7(PO4)3,-3.1
Li6.6La3Zr1.6Sb0.4O12,-3.114
Li1.50Al0.50Ge0.2Ti1.3(PO4)3,-3.133
La0.51Li0.36Ti0.95W0.05O3,-3.137
Li6.6La3Zr1.6Ta0.4O12 ,-3.137
Li1.6Al0.6Ge0.8(PO4)3,-3.155
Li0.34La0.56TiO3,-3.162
Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,-3.17
Li3.4Si0.4P0.6S4,-3.173
Li6.4La3Zr1.4Sb0.6O12 ,-3.18
La0.55Li0.36Ti0.992Al0.008O3,-3.184
La0.56Li0.36Ti0.95Al0.05O3,-3.194
Li6PS5I,-3.201
Li6.75La3Zr1.75Ta0.25O12 ,-3.201
Li0.33La0.56Ti0.96Al0.04O2.96F0.04,-3.206
Li1.35Al0.35Ge0.2Ti1.45(PO4)3,-3.209
Li1.4Y0.4Ti1.6(PO4)3,-3.215
Li0.27La0.59TiO3,-3.237
Li3N,-3.24
La0.561Li0.315Ti0.95Al0.067O3,-3.25
Li1.3Y0.3Ti1.7(PO4)3,-3.256
LiSrTiTaO6,-3.26
Li1.3La0.3Ti1.7(PO4)3,-3.277
Li1.2La0.2Ti1.8(PO4)3,-3.277
Li1.15Fe0.15Ti1.85(PO4)3,-3.282
Li1.4Sc0.4Ti1.6(PO4)3,-3.288
Li1.2Y0.2Ti1.8(PO4)3,-3.298
Li1.4La0.4Ti1.6(PO4)3,-3.304
Li6.2La3Zr1.2Sb0.8O12 ,-3.347
Li6.05P0.95Si0.05S5Br,-3.356
Li6.6La2.75Y0.25Zr1.6Ta0.4O12,-3.361
Li1.3Al0.1Sc0.2Ti1.7(PO4)3,-3.371
Li1.2In0.2Ti1.8(PO4)3,-3.397
LiP0.9I0.1O2.7,-3.4
