,formula,class>1e-4
0,Li2Ti0.75Ta0.25O3.125,0
1,Li2OHBr,0
2,Li2.4OH0.6Cl,0
3,Li2.1OH0.9Cl,0
4,Li2OHCl,0
5,Li2.7OH0.3Cl,0
6,Li6PO5Cl,0
7,Li14ZnGe4O16,1
8,(YPO4)0.8(Li3PO4)0.2,1
9,(YPO4)0.8(Li3PO4)0.2,1
10,Li7La3Zr2O12,1
11,Li3.4Si0.4P0.6S4,1
12,Li6.4La3Zr1.4Ta0.6O12,1
13,Li7.06La3Zr1.94Y0.06O12,1
14, Li6.4Al0.19La3Zr2O11.8,1
15,La0.57Li0.29TiO3,1
16,Li6.5La3Zr1.75Te0.25O12,1
17,Li7La3Zr2O12,0
18,Li9.6P3S12,1
19,Li1.3Al0.3Ti1.7(PO4)3,1
20,Li1.3Al0.3Ti1.7(PO4)3,1
21,Li1.2Ti1.8Sc0.2(PO4)3,1
22,Li1.6Al0.6Ge0.8(PO4)3,1
23,Li6.55La3Zr2Ga0.9O12,1
24,Li3OCl0.5Br0.5,1
25,Li3OCl,1
26,Li2OHCl,1
27,LiTi2(PO4)3,0
28,Li9.54Si1.74P1.44S11.7Cl0.3,1
29,Li10GeP2S12,1
30,Li6.6La3Zr1.6Sb0.4O12,1
31,Li7P3S11,1
32,Li1.4Al0.4Ti1.6(PO4)3,1
33,Li6.46Al0.15La3Zr1.95O11.86,0
34,Li6.4La3Zr1.7W0.3O12,1
35,Li3.25Ge0.25P0.75S4,1
36,Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,1
37,Li6.5La3Zr1.5Ta0.5O12,1
38,La0.55Li0.361Ti0.995Al0.005O3,1
39,La0.56Li0.36Ti0.95Al0.05O3,1
40,La0.55Li0.36Ti0.992Al0.008O3,1
41,La0.56Li0.36Ti0.95Al0.05O3,1
42,La0.55Li0.361Ti0.995Al0.005O3,1
43,La0.56Li0.36Ti0.95Al0.05O3,1
44,La0.55Li0.36Ti0.992Al0.008O3,1
45,La0.55Li0.361Ti0.995Al0.005O3,1
46,La0.55Li0.36Ti0.992Al0.008O3,1
47,La0.56Li0.36Ti0.95Al0.05O3,1
48,La0.561Li0.315Ti0.995Al0.0067O3,1
49,La0.561Li0.315Ti0.995Al0.0067O3,1
50,La0.561Li0.315Ti0.995Al0.0067O3,1
51,La0.561Li0.315Ti0.95Al0.067O3,1
52,LiPO3,0
53,LiPO3,0
54,LiPO3,0
55,LiPO3,0
56,Li6BaLa2Ta2O12 ,1
57,Li6BaLa2Ta2O12 ,1
58,Li6BaLa2Ta2O12 ,1
59,Li6BaLa2Ta2O12 ,1
60,Li0.228La0.59TiO3,1
61,Li0.24La0.59TiO3,1
62,Li0.24La0.59TiO3,1
63,Li0.24La0.59TiO3,1
64,Li0.24La0.59TiO3,1
65,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,1
66,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,1
67,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,1
68,Li6.25Ba1.25La1.75Ta2O12,1
69,Li5La3Ta2O12,1
70,Li6.25Ba1.25La1.75Ta2O12,1
71,Li5La3Ta2O12,1
72,Li6.25Ba1.25La1.75Ta2O12,1
73,Li6.25Ba1.25La1.75Ta2O12,1
74,Li5La3Ta2O12,0
75,Li6.25Ba1.25La1.75Ta2O12,0
76,Li5La3Ta2O12,0
77,Li5La3Ta2O12,0
78,Li1.3Al0.3Ti1.7(PO4)3,1
79,Li1.3Al0.3Ti1.7(PO4)3,0
80,Li1.3Al0.3Ti1.7(PO4)3,0
81,LiP0.65I0.35O1.95,1
82,LiP0.75I0.25O2.25,1
83,LiP0.9I0.1O2.7,1
84, Li0.8La0.066Zr2(PO4)3,1
85, Li0.8La0.066Zr2(PO4)3,1
86, Li0.8La0.066Zr2(PO4)3,1
87, Li0.8La0.066Zr2(PO4)3,0
88,Li0.5La0.5TiO3,1
89,Li0.5La0.5TiO3,0
90,Li0.5La0.5TiO3,0
91,Li0.5La0.5TiO3,0
92,Li0.5La0.5TiO3,0
93,Li0.5La0.5TiO3,0
94,Li7.02Ga0.98Ge4.41S12.39I3,1
95,Li2P2S6,1
96,Li2P2S6,1
97,Li1.4S2.2P0.6,1
98,Li0.7Al0.3Ti1.7(PO4)3,1
99,Li0.7Al0.3Ti1.7(PO4)3,1
100,Li0.7Al0.3Ti1.7(PO4)3,0
101,Li1.4S2.2P0.6,1
102,Li1.4S2.2P0.6,1
103,Li1.4S2.2P0.6,0
104,Li3.09BO2.53N0.52,0
105,Li3.09BO2.53N0.52,0
106,Li3.09BO2.53N0.52,0
107,Li3.09BO2.53N0.52,0
108,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,1
109,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,1
110,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,1
111,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,1
112,Li1.4Al0.4Ti1.6(PO4)3,1
113,Li1.4Al0.4Ti1.6(PO4)3,1
114,Li1.4Al0.4Ti1.6(PO4)3,1
115,Li1.4S2.2P0.6,1
116,Li1.4S2.2P0.6,1
117,Li1.4S2.2P0.6,1
118,Li1.4S2.2P0.6,1
119,Li1.4S2.2P0.6,0
120,Li5Nd3Sb2O12,1
121,Li5La3Sb2O12,1
122,Li5La3Sb2O12,1
123,Li5Nd3Sb2O12,1
124,Li5La3Sb2O12,0
125,Li5Nd3Sb2O12,0
126,Li6La2SrNb2O12,0
127,Li6La2SrNb2O12,1
128,Li6La2CaNb2O12,0
129,Li6La2CaNb2O12,0
130,Li6La2SrNb2O12,0
131,Li2.2Zn0.1Zr0.9S3,1
132,Li0.1Na0.1La0.6TiO3,1
133,Li0.1Na0.1La0.6TiO3,1
134,Li0.1Na0.1La0.6TiO3,1
