ID,formula,Source,Temperature (C),StructuralFamily,Conductivity (S/cm),target,elements
164,Li3.09BO2.53N0.52,10.1016/j.jpowsour.2008.09.089,9.0,Glass,3.08e-07,-6.511,B-Li-N-O
116,Li0.5La0.5TiO3,10.1016/j.jallcom.2009.07.091,10.0,Perovskite,2.07e-06,-5.684,La-Li-O-Ti
96,Li5La3Ta2O12,10.1007/s11581-007-0097-8,15.0,Garnet,1.31e-06,-5.883,La-Li-O-Ta
285,Li6BaLa2Ta2O12,10.1149/1.2800764,17.0,Garnet,2.25e-05,-4.648,Ba-La-Li-O-Ta
94,Li6.25Ba1.25La1.75Ta2O12,10.1007/s11581-007-0097-8,18.0,Garnet,2.7e-05,-4.569,Ba-La-Li-O-Ta
500,Li6PS5Cl,10.1016/j.ssi.2012.06.008,18.82,Argyrodite,0.000376,-3.425,Cl-Li-P-S
157,Li0.7Al0.3Ti1.7(PO4)3,10.1016/j.jpowsour.2008.08.009,19.74,NASICON,7.73e-05,-4.112,Al-Li-O-P-Ti
289,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,20.0,Garnet,8.08e-06,-5.093,Ba-La-Li-O-Sr-Ta
33,Li3OCl,10.1021/ja305709z,21.0,Anti-Perovskite,0.00085,-3.071,Cl-Li-O
32,Li3OCl0.5Br0.5,10.1021/ja305709z,21.0,Anti-Perovskite,0.00194,-2.712,Br-Cl-Li-O
172,Li1.4Al0.4Ti1.6(PO4)3,10.1016/j.ssi.2006.04.010,21.0,NASICON,0.000917,-3.038,Al-Li-O-P-Ti
248,Li1.076Al0.6923Ti1.462(PO4)3,10.1016/S0167-2738(97)00018-0,21.0,NASICON,0.000825,-3.084,Al-Li-O-P-Ti
169,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,10.1016/j.ssi.2004.05.009,21.0,NASICON,0.000676,-3.17,Al-Ge-Li-O-P-Ti
891,Li6MgLa2Ta2O12,10.1149/1.2800764,21.1,Garnet,1.92e-07,-6.717,La-Li-Mg-O-Ta
250,LiGe2(PO4)3,10.1016/S0167-2738(97)00434-7,21.23,NASICON,1e-06,-6.0,Ge-Li-O-P
99,Li1.3Al0.3Ti1.7(PO4)3,10.1007/s11581-007-0197-5,21.42,NASICON,3.33e-07,-6.478,Al-Li-O-P-Ti
759,Li6BaLa2Ta2O12 ,10.1002/adfm.200400044,22.0,Garnet,4e-05,-4.398,Ba-La-Li-O-Ta
814,Li6BaLa2Nb2O12 ,10.1111/j.1551-2916.2005.00060.x,22.0,Garnet,6e-06,-5.222,Ba-La-Li-Nb-O
815,Li6SrLa2Nb2O12 ,10.1111/j.1551-2916.2005.00060.x,22.0,Garnet,4.2e-06,-5.377,La-Li-Nb-O-Sr
816,Li6CaLa2Nb2O12,10.1111/j.1551-2916.2005.00060.x,22.0,Garnet,1.6e-06,-5.796,Ca-La-Li-Nb-O
760,Li6SrLa2Ta2O12,10.1002/adfm.200400044,22.0,Garnet,7e-06,-5.155,La-Li-O-Sr-Ta
2,Li2OHBr,10.1002/aenm.201700971,22.06,Anti-Perovskite,5.4e-07,-6.268,Br-H-Li-O
