,composition,class>1e-4
0,Li3.09BO2.53N0.52,0
1,Li0.5La0.5TiO3,0
2,Li5La3Ta2O12,0
3,Li6BaLa2Ta2O12,0
4,Li6.25Ba1.25La1.75Ta2O12,0
5,Li6PS5Cl,1
6,Li0.7Al0.3Ti1.7(PO4)3,0
7,Li6Sr0.5Ba0.5La2Ta2O12,0
8,Li3OCl,1
9,Li3OCl0.5Br0.5,1
10,Li1.4Al0.4Ti1.6(PO4)3,1
11,Li1.076Al0.6923Ti1.462(PO4)3,1
12,Li1.4Al0.4(Ge0.67Ti0.33)1.6(PO4)3,1
13,Li6MgLa2Ta2O12,0
14,LiGe2(PO4)3,0
15,Li1.3Al0.3Ti1.7(PO4)3,0
16,Li6BaLa2Ta2O12 ,0
17,Li6BaLa2Nb2O12 ,0
18,Li6SrLa2Nb2O12 ,0
19,Li6CaLa2Nb2O12,0
20,Li6SrLa2Ta2O12,0
21,Li2OHBr,0
22,LiHfTi(PO4)3,0
23,Li0.24La0.59TiO3,1
24,Li6La3Nb1.5Y0.5O12 ,1
25,Li6.4La3Zr2Ga0.2O12 ,1
26,Li7P3S11,1
27,Li9.54Si1.74P1.44S11.7Cl0.3,1
28,Li6.55La3Zr2Ga0.9O12,1
29,Li1.6Al0.6Ge0.8(PO4)3,1
30,Li9.6P3S12,1
31,Li7La3Zr2O12,0
32, Li6.4Al0.19La3Zr2O11.8,1
33,LiTi2(PO4)3,0
34,Li1.5In0.5Ge1.5(PO4)3,0
35,Li5La3Sb2O12,0
36,Li1.45Al0.45Ge0.2Ti1.35(PO4)3,1
37,Li3OBr,0
38,Li1.40Al0.4Ge0.2Ti1.4(PO4)3,1
39,Li4P2S6,0
40,Li1.50Al0.50Ge0.2Ti1.3(PO4)3,1
41,Li6La2Sr(Nb)2O12,1
42,Li1.55Al0.55Ge0.2Ti1.25(PO4)3,0
43,Li1.45Al0.45Ti1.55(PO4)3,1
44,Li6CaLa2Ta2O12,0
45,Li3.2PO3.1N0.7,0
46,Li7Ge3PS12,1
