,element,similarity
0,H,0.0344700172068457
1,He,0.0005
2,Li,0.2195080391963579
3,Be,0.4417631081828226
4,B,0.2080875558007548
5,C,0.2443224944828732
6,N,0.1855713967006058
7,O,0.0973779136700227
8,F,0.0598240006659529
9,Ne,0.0599851851851852
10,Na,0.0931614534129614
11,Mg,0.136029245642236
12,Al,0.4309566167787341
13,Si,0.6954972263206346
14,P,0.6991230273822501
15,S,0.2704499725675212
16,Cl,0.0723385453378831
17,Ar,0.0865112359550562
18,K,0.0643283110856152
19,Ca,0.0678457166103501
20,Sc,0.0564755060184248
21,Ti,0.0687833304103814
22,V,0.2391783897213469
23,Cr,0.1238149243527618
24,Mn,0.1170374516032906
25,Fe,0.1231722568863508
26,Co,0.1330524907269751
27,Ni,0.1020576495358
28,Cu,0.1994115344688747
29,Zn,0.315619730736095
30,Ga,0.3813348701957765
31,Ge,0.4107517458302155
32,As,0.3569183929764689
33,Se,0.1842794390456935
34,Br,0.0770000125332132
35,Kr,0.051102564102564
36,Rb,0.0580081054412186
37,Sr,0.0456406880699667
38,Y,0.0609355941540564
39,Zr,0.052026483873245
40,Nb,0.0694054758721292
41,Mo,0.2404748128924585
42,Tc,0.1823202151755379
43,Ru,0.1059966298522015
44,Rh,0.1394381051381059
45,Pd,0.1167145826634213
46,Ag,0.1523273736995005
47,Cd,0.1857747521891134
48,In,0.3000721578531549
49,Sn,0.2677820154376642
50,Sb,0.1362065661679191
51,Te,0.1217680555213422
52,I,0.0675202972357572
53,Xe,0.0522952380952381
54,Cs,0.0492948937153427
55,Ba,0.035193588825216
56,La,0.0417490277804527
57,Ce,0.0473141563564645
58,Pr,0.0478918285912562
59,Nd,0.0454782032320903
60,Pm,0.0623
61,Sm,0.0535639974779318
62,Eu,0.0514412914655751
63,Gd,0.0508203257761019
64,Tb,0.0588832713301215
65,Dy,0.044173706253993
66,Ho,0.058024571960742
67,Er,0.0489973956699089
68,Tm,0.0382979647308406
69,Yb,0.0554452659297413
70,Lu,0.0492150528658875
71,Hf,0.0434378615413322
72,Ta,0.0531117650870449
73,W,0.1819036792230983
74,Re,0.1024885894410858
75,Os,0.1127674684597254
76,Ir,0.1234651409099285
77,Pt,0.1135115690527845
78,Au,0.0816080286606657
79,Hg,0.1711642186553609
80,Tl,0.0639797522497502
81,Pb,0.0567316733309107
82,Bi,0.0857752345952106
83,Po,0.0638673469387755
84,Ra,0.0005
85,Ac,0.1087894736842105
86,Th,0.0353088822355289
87,Pa,0.0230109489051094
88,U,0.0262071109431979
89,Np,0.0238658669574699
90,Pu,0.0573828616352201
91,Am,0.0307207207207207
92,Cm,0.0633447580645161
93,Bk,0.0945869565217391
94,Cf,0.1024285714285714
95,Es,0.0337
