pairs,sub
Ac Ag,0.9967521152873207
Ac Al,0.9956911686859065
Ac As,0.9915468094845747
Ac Au,0.9952849190382774
Ac B,0.9947576690315458
Ac Ba,0.9959464510871918
Ac Be,0.9886464465442925
Ac Bi,0.995424481523956
Ac Br,0.9957720999396042
Ac C,0.9941222142703664
Ac Ca,0.9967382878259152
Ac Cd,0.9957289911329334
Ac Ce,0.9954818000089931
Ac Cl,0.9961845731080035
Ac Co,0.994003798236236
Ac Cr,0.9960478708313575
Ac Cs,0.9966787610861152
Ac Cu,0.995750662185918
Ac Dy,0.9933186411775186
Ac Er,0.9953925448176185
Ac Eu,0.9941851869932515
Ac F,0.996170958459031
Ac Fe,0.9945624001235641
Ac Ga,0.9947651058216914
Ac Gd,0.9954068121856212
Ac Ge,0.9942591636417
Ac H,0.995462377613005
Ac Hf,0.9945542458316585
Ac Hg,0.9948998269140379
Ac Ho,0.9943191069318679
Ac I,0.9947257675614609
Ac In,0.9835661190326865
Ac Ir,0.9964992295023786
Ac K,0.9953895409565742
Ac La,0.9959886401808162
Ac Li,0.9965428310142694
Ac Lu,0.9931791982101679
Ac Mg,0.9965474568153783
Ac Mn,0.9949046022305521
Ac Mo,0.9916971932270479
Ac N,0.9924311250159695
Ac Na,0.9968920697493068
Ac Nb,0.99518523003116
Ac Nd,0.994394860442327
Ac Ni,0.9944744118494215
Ac Np,0.9953863876366074
Ac O,0.9952079131870454
Ac Os,0.994982113931467
Ac P,0.99429500609318
Ac Pa,0.9966434411849124
Ac Pb,0.9954586193857479
Ac Pd,0.9949461082620544
Ac Pm,0.9951617331614122
Ac Pr,0.9960454603696611
Ac Pt,0.9938876408722862
Ac Pu,0.9937623489685377
Ac Rb,0.9954665337865504
Ac Re,0.9952513660071749
Ac Rh,0.994226384807936
Ac Ru,0.993458047703937
Ac S,0.9933002762096962
Ac Sb,0.9941363184455533
Ac Sc,0.9956269002968964
Ac Se,0.9942209310047387
Ac Si,0.9956138878325682
Ac Sm,0.9931671607958057
Ac Sn,0.9953083127675684
Ac Sr,0.9956517683610873
Ac Ta,0.9953190043667315
Ac Tb,0.9951937962511321
Ac Tc,0.9968393302894832
Ac Te,0.9949962075463565
Ac Th,0.991343338861262
Ac Ti,0.994711510244418
Ac Tl,0.9951398392401344
Ac Tm,0.9963084613107621
Ac U,0.9949814940129367
Ac V,0.9957007063106708
Ac W,0.9953298399357956
Ac Y,0.9950810102597039
Ac Yb,0.9969903733960026
Ac Zn,0.9945545379109623
Ac Zr,0.9951266279776007
Ag Al,0.9982166990890043
Ag As,0.9944684600637581
Ag Au,0.9985773537827728
Ag B,0.9961400319146678
Ag Ba,0.9975369441504289
Ag Be,0.9907236794189611
Ag Bi,0.9973222443329499
Ag Br,0.997340195993661
Ag C,0.9940096103286636
Ag Ca,0.9983971325592541
Ag Cd,0.9984224043765233
Ag Ce,0.9975381231541217
Ag Cl,0.9972272337237024
Ag Co,0.9956744334022481
Ag Cr,0.9985844076810299
Ag Cs,0.9978527968469725
Ag Cu,0.9987790290154941
Ag Dy,0.9962440606707202
Ag Er,0.9978444484401364
Ag Eu,0.9966719125981363
Ag F,0.9953386612518788
Ag Fe,0.9979766781437247
Ag Ga,0.9984664673283482
Ag Gd,0.9984664151538963
Ag Ge,0.9980562934958185
Ag H,0.9964420544799953
Ag Hf,0.9961454550089855
Ag Hg,0.9984127492891858
Ag Ho,0.9963928195439613
Ag I,0.9954881895151895
Ag In,0.9849730938695629
Ag Ir,0.9972905798635444
Ag K,0.9944338860076782
Ag La,0.997556059667564
Ag Li,0.9975676446953461
Ag Lu,0.99401860597392
Ag Mg,0.9987292831612424
Ag Mn,0.9980135782478863
Ag Mo,0.9965935735426013
Ag N,0.9928662882864214
Ag Na,0.9980177560303093
Ag Nb,0.9975165690338162
