pairs,sub
Ac Ag,0.997358702959518
Ac Al,0.9978449390078934
Ac As,0.9957898943796741
Ac Au,0.995411555176014
Ac B,0.9971430635400068
Ac Ba,0.9972627585579268
Ac Be,0.9908317854418579
Ac Bi,0.996958666912981
Ac Br,0.9969970107652366
Ac C,0.9975931475718773
Ac Ca,0.9986106446138431
Ac Cd,0.995907834067929
Ac Ce,0.9976749294219225
Ac Cl,0.997984786982903
Ac Co,0.99670635025371
Ac Cr,0.9971113410964849
Ac Cs,0.9975922962954222
Ac Cu,0.9950572192873365
Ac Dy,0.992950692612804
Ac Er,0.9967397541885477
Ac Eu,0.9960852890828399
Ac F,0.9974702455211175
Ac Fe,0.9957631813067793
Ac Ga,0.9972073271738635
Ac Gd,0.9961992132565474
Ac Ge,0.9962700406093097
Ac H,0.9973157270035493
Ac Hf,0.9971298418892166
Ac Hg,0.9970391017332687
Ac Ho,0.9958258548156458
Ac I,0.9975363963592869
Ac In,0.9917056612504679
Ac Ir,0.9967685978792958
Ac K,0.9955378900648986
Ac La,0.9948259897802525
Ac Li,0.9964042759377904
Ac Lu,0.9966846618769174
Ac Mg,0.997267131548198
Ac Mn,0.9962201156704894
Ac Mo,0.9973714882520563
Ac N,0.9970947892566007
Ac Na,0.9976959144277301
Ac Nb,0.9953531627403142
Ac Nd,0.9968843463084283
Ac Ni,0.9979134737280007
Ac Np,0.9974639539985716
Ac O,0.9978039413158172
Ac Os,0.9972816619391701
Ac P,0.9973205377469643
Ac Pa,0.9987103346877534
Ac Pb,0.9969202143547559
Ac Pd,0.9969189295854131
Ac Pm,0.994573809162093
Ac Pr,0.9958054085642299
Ac Pt,0.9969831844050266
Ac Pu,0.9978025968238246
Ac Rb,0.9965060415866197
Ac Re,0.9963408290457475
Ac Rh,0.9959266737768406
Ac Ru,0.995319799720456
Ac S,0.998060886992832
Ac Sb,0.9942786424816097
Ac Sc,0.9972116430928173
Ac Se,0.997878959074351
Ac Si,0.9964196457083617
Ac Sm,0.9978573525031331
Ac Sn,0.9951685264526542
Ac Sr,0.9969514051917747
Ac Ta,0.9949852909438025
Ac Tb,0.9957403235701834
Ac Tc,0.9962112157270623
Ac Te,0.9950509357660681
Ac Th,0.9968416228445375
Ac Ti,0.9968293305626209
Ac Tl,0.9971626951279219
Ac Tm,0.9963954825302344
Ac U,0.9968119492473069
Ac V,0.9973423982086963
Ac W,0.9982739404726547
Ac Y,0.9970794057784708
Ac Yb,0.9970756957780658
Ac Zn,0.9968524171955369
Ac Zr,0.9961502390784805
Ag Al,0.9983163158824665
Ag As,0.9955336346978882
Ag Au,0.9992427180207518
Ag B,0.9981383985391515
Ag Ba,0.9979071508722497
Ag Be,0.9938126581513939
Ag Bi,0.9978540000510621
Ag Br,0.9978284115114349
Ag C,0.9977666827527893
Ag Ca,0.9972551643222762
Ag Cd,0.9977282218045187
Ag Ce,0.9965241938242457
Ag Cl,0.9975047434732927
Ag Co,0.9960328508715451
Ag Cr,0.998085128653604
Ag Cs,0.9981396973386402
Ag Cu,0.9981871447202738
Ag Dy,0.9962394332525084
Ag Er,0.9975345793190951
Ag Eu,0.9976575081745969
Ag F,0.9974078466013471
Ag Fe,0.9987345069766849
Ag Ga,0.9984890069085097
Ag Gd,0.9971106555859418
Ag Ge,0.9985855420765867
