pairs,sub,sub_a2v
Ac Ag,0.0034,0.5474803254965165
Ac Al,0.0025,0.2765755752137509
Ac As,0.0015,0.372327138149697
Ac Au,0.0021,0.554017220764598
Ac B,0.0008,0.13695798532687622
Ac Ba,0.0409,0.5152854595217811
Ac Be,0.0025,0.5963229761895121
Ac Bi,0.0109,0.5779860203501046
Ac Br,0.0016,0.33353212768141677
Ac C,0.0008,0.2671352675996246
Ac Ca,0.0618,0.6361628250332867
Ac Cd,0.0041,0.5561648325120854
Ac Ce,0.0632,0.7038044244284638
Ac Cl,0.0008,0.28428996584865984
Ac Co,0.0012,0.23273174889378248
Ac Cr,0.0058,0.31766688115540265
Ac Cs,0.0039,0.2872082021168394
Ac Cu,0.0017,0.21608739235482038
Ac Dy,0.0434,0.6783350535258454
Ac Er,0.0358,0.6566386646471175
Ac Eu,0.0932,0.8638984581901095
Ac F,0.0003,0.22406371007922346
Ac Fe,0.0027,0.15418649188045072
Ac Ga,0.0028,0.4569285987621027
Ac Gd,0.0601,0.7701084129069752
Ac Ge,0.0021,0.2567816316047186
Ac H,0.0012,0.5977506483940875
Ac Hf,0.008,0.4368961667786484
Ac Hg,0.0034,0.6440571839416925
Ac Ho,0.0382,0.6660217906622806
Ac I,0.0024,0.37174588072985665
Ac In,0.0054,0.5670437943828002
Ac Ir,0.0008,0.3979878667250528
Ac K,0.0134,0.35185801453733195
Ac La,0.1724,0.7090763943257576
Ac Li,0.0064,0.43154328282383336
Ac Lu,0.0327,0.6727359221977338
Ac Mg,0.0073,0.47724294665368744
Ac Mn,0.0046,0.21337352595258946
Ac Mo,0.0024,0.2902990256159321
Ac N,0.0004,0.13802671381512574
Ac Na,0.0209,0.4979595097136511
Ac Nb,0.0049,0.31039898126355375
Ac Nd,0.12,0.7471391830442019
Ac Ni,0.001,0.22587677771332787
Ac Np,0.0354,0.8734910496305348
Ac O,0.0004,0.07863684850106926
Ac Os,0.0007,0.3638588041235781
Ac P,0.0009,0.21557664720079467
Ac Pa,0.0293,0.7682038684618775
Ac Pb,0.0064,0.6513861478055599
Ac Pd,0.0017,0.5041523939778637
Ac Pm,0.0286,0.9465674646408125
Ac Pr,0.1426,0.7300284866711856
Ac Pt,0.0008,0.5018680102576135
Ac Pu,0.0564,0.899287848777811
Ac Rb,0.0053,0.34714860912767886
Ac Re,0.0024,0.3802451075015841
Ac Rh,0.001,0.42154300198757994
Ac Ru,0.0005,0.3112480780163828
Ac S,0.0007,0.15266494077070944
Ac Sb,0.0039,0.42771053759242844
Ac Sc,0.0181,0.7142831485268148
Ac Se,0.0016,0.22980145995255372
Ac Si,0.0007,0.16797967686763
Ac Sm,0.1018,0.7940216241411528
Ac Sn,0.0027,0.4495087961545011
Ac Sr,0.0781,0.5869103730412716
Ac Ta,0.0041,0.3317518628114719
Ac Tb,0.0502,0.7077765939425168
Ac Tc,0.002,0.4270695120449155
Ac Te,0.0026,0.4295113829446993
Ac Th,0.0708,0.8389309994820341
Ac Ti,0.0054,0.35904971122295076
Ac Tl,0.0086,0.5884553042101348
Ac Tm,0.0349,0.6693033030452704
Ac U,0.0192,0.6882122510641924
Ac V,0.0035,0.28354874772951794
Ac W,0.0014,0.2708123282750445
Ac Y,0.0442,0.7277117480175715
Ac Yb,0.0531,0.8636457085995881
Ac Zn,0.0022,0.46005506215718195
Ac Zr,0.0099,0.45684103337131654
Ag Al,0.0207,0.21638532078009254
Ag As,0.0113,0.20486030234893907
Ag Au,0.1973,0.908913176168514
Ag B,0.0022,0.10493871219409225
Ag Ba,0.0057,0.1413632807521511
Ag Be,0.0086,0.5604882025849737
Ag Bi,0.0227,0.3518092589688986
Ag Br,0.0084,0.20599871959503346
Ag C,0.0013,0.16192411738444082
Ag Ca,0.015,0.22026928226651488
Ag Cd,0.129,0.6405939795672079
Ag Ce,0.0023,0.19889998104589143
Ag Cl,0.007,0.16066135013985797
Ag Co,0.011,0.19665088978937653
Ag Cr,0.0058,0.2211174694565358
Ag Cs,0.0125,0.38622536766192944
Ag Cu,0.1185,0.7820957971338632
Ag Dy,0.0059,0.21395237037671305
Ag Er,0.0061,0.21044692585238678
Ag Eu,0.0058,0.2943595341374577
Ag F,0.0008,0.08344137623531761
Ag Fe,0.01,0.17480032440894508
Ag Ga,0.0274,0.4093017784851584
Ag Gd,0.0032,0.2503502689865556
Ag Ge,0.0223,0.1859086038828773
Ag H,0.004,0.5505033715555064
Ag Hf,0.0029,0.21244217217651692
Ag Hg,0.2066,0.8187195766120636
Ag Ho,0.006,0.21456596921127472
Ag I,0.0047,0.22811191983927853
Ag In,0.0643,0.5064712487203624
Ag Ir,0.0218,0.4391265072928653
Ag K,0.0219,0.3992501522129733
Ag La,0.0054,0.21928735746194233
Ag Li,0.1019,0.5117658582204436
Ag Lu,0.0059,0.2461925836119852
Ag Mg,0.0614,0.4175112810011574
Ag Mn,0.0138,0.30124539761416397
Ag Mo,0.0101,0.16645560465182685
Ag N,0.001,0.09405492258348812
Ag Na,0.043,0.5355751016366532
Ag Nb,0.0042,0.15608118827917
Ag Nd,0.0077,0.2223271389713841
Ag Ni,0.0289,0.25971066569980555
Ag Np,0.0018,0.4138000865244487
Ag O,0.0003,0.05659771433238806
Ag Os,0.0153,0.35610385389351057
Ag P,0.0052,0.10997178357204135
Ag Pa,0.0016,0.49568734952766536
Ag Pb,0.0327,0.44948460094419784
Ag Pd,0.0638,0.7299817668086918
Ag Pm,0.0025,0.5201184757394579
Ag Pr,0.0073,0.21398549421058582
Ag Pt,0.0418,0.6526795272061708
Ag Pu,0.0022,0.4062702122557258
Ag Rb,0.013,0.4091048067860799
Ag Re,0.0042,0.2679834632316767
Ag Rh,0.0273,0.4984716403508347
Ag Ru,0.0176,0.35958178783147454
Ag S,0.0046,0.09401163356308027
Ag Sb,0.0104,0.2389781615281602
Ag Sc,0.0063,0.368062489623373
Ag Se,0.0076,0.14782526704989046
Ag Si,0.006,0.1096440929473257
Ag Sm,0.0077,0.24667820833916385
Ag Sn,0.0212,0.31944506190667044
Ag Sr,0.0212,0.17313990665425674
Ag Ta,0.0033,0.15495161247089337
Ag Tb,0.0061,0.21898852334813862
Ag Tc,0.0157,0.4531457784084753
Ag Te,0.0066,0.2661723622901502
Ag Th,0.0024,0.35322141922385647
Ag Ti,0.0047,0.21717286467609567
Ag Tl,0.0545,0.7374206604345649
Ag Tm,0.0063,0.24476593960461093
Ag U,0.002,0.2390113445128829
Ag V,0.0036,0.18666992499632418
Ag W,0.0093,0.15584924681475273
Ag Y,0.0066,0.2824226278188603
Ag Yb,0.0227,0.3139915484342671
Ag Zn,0.0959,0.6319956620754843
Ag Zr,0.0033,0.22711912205129106
Al As,0.0102,0.21058651350380045
Al Au,0.0234,0.26545389389515145
Al B,0.0052,0.12887770947207428
Al Ba,0.0007,0.11188297139654008
Al Be,0.031,0.5028552578548924
Al Bi,0.0102,0.20845536094542355
Al Br,0.0003,0.1105903471117204
Al C,0.001,0.06832953277949612
Al Ca,0.0032,0.12345109296044049
Al Cd,0.0364,0.21678019383210556
Al Ce,0.0036,0.12698420041742123
Al Cl,0.0004,0.09043110789851415
Al Co,0.0158,0.19793669475954642
Al Cr,0.0206,0.22232911203348615
Al Cs,0.0006,0.06268038274676736
Al Cu,0.0346,0.1689665437810765
Al Dy,0.0048,0.1440679473406353
Al Er,0.0055,0.15468306272606855
Al Eu,0.002,0.1700467780960836
Al F,0.0002,0.0648423855210454
Al Fe,0.0318,0.2267690358818815
Al Ga,0.2646,0.8780191506679931
Al Gd,0.0027,0.18261829913319838
Al Ge,0.0419,0.19611293969198204
Al H,0.0016,0.2360499333590768
Al Hf,0.0114,0.2619836156217611
Al Hg,0.0349,0.2233437463860374
Al Ho,0.005,0.1504452254665786
Al I,0.0011,0.14696160751978918
Al In,0.072,0.509972712663908
Al Ir,0.0122,0.2288001514598487
Al K,0.0013,0.08694476303643095
Al La,0.0022,0.153855872907937
Al Li,0.0198,0.1130191591521071
Al Lu,0.0087,0.20054409236828877
Al Mg,0.0344,0.20925022694227036
Al Mn,0.0336,0.18310300930036139
Al Mo,0.0121,0.13560756677601069
Al N,0.0002,0.062451378453908316
Al Na,0.0021,0.09315030398414517
Al Nb,0.0104,0.2075689495336826
Al Nd,0.0031,0.14052139242469158
Al Ni,0.0196,0.1415976658514953
Al Np,0.0024,0.23676791771620975
Al O,0.0003,0.03601776583089312
Al Os,0.018,0.2635137176454452
Al P,0.0061,0.12967822214317212
Al Pa,0.0039,0.2787085905133014
Al Pb,0.0119,0.16220469102809107
Al Pd,0.0126,0.18050627632433128
Al Pm,0.0005,0.2573960226281535
Al Pr,0.0025,0.1363988818072941
Al Pt,0.0156,0.21365516822734626
Al Pu,0.0012,0.23952916143485675
Al Rb,0.0007,0.08426623406599602
Al Re,0.0151,0.2193617893105378
Al Rh,0.0112,0.22669033327488014
Al Ru,0.0131,0.2104803429794982
Al S,0.0012,0.0744115472903314
Al Sb,0.0154,0.20126942642628917
Al Sc,0.0275,0.3931635038657409
Al Se,0.0018,0.0871391440615726
Al Si,0.0532,0.24533856080122243
Al Sm,0.003,0.14259177574883508
Al Sn,0.0318,0.19979673221560354
Al Sr,0.0014,0.12377222662204049
Al Ta,0.012,0.23013145441291408
Al Tb,0.0047,0.12951217190157338
Al Tc,0.0173,0.2740019243902156
Al Te,0.0024,0.12894359133241057
Al Th,0.0021,0.20197308625091503
Al Ti,0.0306,0.27428203827390396
Al Tl,0.0151,0.2918674623132521
Al Tm,0.0061,0.17500057600064814
Al U,0.0036,0.0871521558661121
Al V,0.0204,0.1877115933164473
Al W,0.0115,0.13076169571843993
Al Y,0.0046,0.2532564138498734
Al Yb,0.0033,0.17937525795596684
Al Zn,0.0964,0.2741042609174857
Al Zr,0.0106,0.2401167114770282
As Au,0.0187,0.2607087615328833
As B,0.0109,0.09927400565114666
As Ba,0.0016,0.100679376153101
As Be,0.018,0.2871715388651539
As Bi,0.0518,0.7092513933930454
As Br,0.0074,0.22100259783408904
As C,0.0089,0.17940495591226446
As Ca,0.0014,0.12145813312759764
As Cd,0.0036,0.1841796839444617
As Ce,0.0018,0.13137616869247343
As Cl,0.0074,0.1762248299573942
As Co,0.0069,0.14571649816886217
As Cr,0.0115,0.27208613238825113
As Cs,0.001,0.09133133365479423
As Cu,0.0096,0.1073203103535109
As Dy,0.0021,0.18803078808109025
As Er,0.0023,0.18641168503552477
As Eu,0.0012,0.22277808604532873
As F,0.0007,0.06227483919913428
As Fe,0.0091,0.1423558578570185
As Ga,0.0308,0.32294224988214615
As Gd,0.0024,0.20749072013882136
As Ge,0.1127,0.2844052840151849
As H,0.005,0.3443291563415496
As Hf,0.0033,0.10328479851901803
As Hg,0.0164,0.2687627610847628
As Ho,0.002,0.184923129439527
As I,0.0035,0.30768796415936295
As In,0.0082,0.2677511512622951
As Ir,0.0103,0.1991226789723578
As K,0.0013,0.1109447255676717
As La,0.0015,0.14235068561151437
As Li,0.0039,0.09025939493670493
As Lu,0.0039,0.19782998942938224
As Mg,0.0029,0.15981180903733272
As Mn,0.0114,0.10617702813752149
As Mo,0.0063,0.2784600467664184
As N,0.0073,0.20039593526720917
As Na,0.0013,0.13853483852687237
As Nb,0.0099,0.30677644076326255
As Nd,0.0018,0.16565945700985107
As Ni,0.0081,0.11688708843584317
As Np,0.0034,0.3443061751382787
As O,0.0013,0.056997853497352556
As Os,0.011,0.22791798344006114
As P,0.2324,0.9369872156916198
As Pa,0.0037,0.4546227085515121
As Pb,0.0177,0.23731386886138353
As Pd,0.0078,0.18420895218609765
As Pm,0.0001,0.32715052193142624
As Pr,0.0016,0.1570907864679184
As Pt,0.0113,0.231020401017617
As Pu,0.0027,0.35633142932641726
As Rb,0.001,0.10464598266740194
As Re,0.005,0.33854708164015984
As Rh,0.0112,0.18436687137231925
As Ru,0.0095,0.1847339922611189
As S,0.0239,0.11910911170963943
As Sb,0.1125,0.8435139279192442
As Sc,0.0052,0.2298250495146743
As Se,0.0386,0.22635597882737135
As Si,0.0543,0.24933644451489645
As Sm,0.0027,0.1877833562644213
As Sn,0.0324,0.25984327513525984
As Sr,0.0013,0.11978148816485448
As Ta,0.0109,0.3760985493002559
As Tb,0.002,0.20353496195307114
As Tc,0.0076,0.2521044586882121
As Te,0.0169,0.4102173552317706
As Th,0.0014,0.2966417715010384
As Ti,0.0064,0.1193598922611344
As Tl,0.0045,0.2421720539489487
As Tm,0.003,0.18935456915349033
As U,0.0045,0.30132906576724194
As V,0.0234,0.33009447582694545
As W,0.005,0.29793003155624564
As Y,0.0021,0.2085404481586101
As Yb,0.0014,0.2535491442489389
As Zn,0.0154,0.18652467103521395
As Zr,0.0031,0.11704156520475416
Au B,0.0033,0.15533929577030378
Au Ba,0.002,0.14482707094304892
Au Be,0.0182,0.4999499306783969
Au Bi,0.024,0.39177489221679757
Au Br,0.0085,0.25237682796882904
Au C,0.0022,0.2660836081612754
Au Ca,0.0034,0.18896981193999407
Au Cd,0.0468,0.5743592372162708
Au Ce,0.0008,0.21917582429788324
Au Cl,0.0063,0.19665036553035686
Au Co,0.0218,0.25455880592783614
Au Cr,0.0051,0.21030218076838833
Au Cs,0.0021,0.14243177756239486
Au Cu,0.152,0.7177279009300248
Au Dy,0.001,0.22325640702440033
Au Er,0.0018,0.2221705585359064
Au Eu,0.0029,0.3003638957738638
Au F,0.0013,0.11256372832936669
Au Fe,0.0144,0.13929878071981727
Au Ga,0.041,0.47769576539323494
Au Gd,0.0018,0.26685859462822253
Au Ge,0.0334,0.22251658234714894
Au H,0.0037,0.5033635612638897
Au Hf,0.0026,0.2227453876736119
Au Hg,0.1249,0.7981391858271927
Au Ho,0.0021,0.22449375003493133
Au I,0.0048,0.28592369013734636
Au In,0.0288,0.5088795554557294
Au Ir,0.0606,0.653318981636618
Au K,0.0024,0.15878793897249682
Au La,0.0017,0.2263931771415829
Au Li,0.0296,0.3060927187710337
Au Lu,0.0022,0.24733812856066606
Au Mg,0.0175,0.31674523462367704
Au Mn,0.0159,0.2374483823100081
Au Mo,0.0133,0.2187795245851548
Au N,0.001,0.0961699403472824
Au Na,0.0084,0.25035068015698714
Au Nb,0.0062,0.17739140665128336
Au Nd,0.0016,0.23776769172195533
Au Ni,0.0511,0.3189892793037969
Au Np,0.0035,0.43617044805328564
Au O,0.0003,0.08136106860001474
Au Os,0.0342,0.5240950549895523
Au P,0.0095,0.13119540088981102
Au Pa,0.0032,0.4920529797084563
Au Pb,0.0233,0.4462986004609438
Au Pd,0.1417,0.8969375804795292
Au Pm,0.0014,0.519413418749223
Au Pr,0.0014,0.23144641127641924
Au Pt,0.13,0.8552929966711232
Au Pu,0.0047,0.43377819395823797
