pairs,sub
Ac Ag,0.0034
Ac Al,0.0025
Ac As,0.0015
Ac Au,0.0021
Ac B,0.0008
Ac Ba,0.0409
Ac Be,0.0025
Ac Bi,0.0109
Ac Br,0.0016
Ac C,0.0008
Ac Ca,0.0618
Ac Cd,0.0041
Ac Ce,0.0632
Ac Cl,0.0008
Ac Co,0.0012
Ac Cr,0.0058
Ac Cs,0.0039
Ac Cu,0.0017
Ac Dy,0.0434
Ac Er,0.0358
Ac Eu,0.0932
Ac F,0.0003
Ac Fe,0.0027
Ac Ga,0.0028
Ac Gd,0.0601
Ac Ge,0.0021
Ac H,0.0012
Ac Hf,0.008
Ac Hg,0.0034
Ac Ho,0.0382
Ac I,0.0024
Ac In,0.0054
Ac Ir,0.0008
Ac K,0.0134
Ac La,0.1724
Ac Li,0.0064
Ac Lu,0.0327
Ac Mg,0.0073
Ac Mn,0.0046
Ac Mo,0.0024
Ac N,0.0004
Ac Na,0.0209
Ac Nb,0.0049
Ac Nd,0.12
Ac Ni,0.001
Ac Np,0.0354
Ac O,0.0004
Ac Os,0.0007
Ac P,0.0009
Ac Pa,0.0293
Ac Pb,0.0064
Ac Pd,0.0017
Ac Pm,0.0286
Ac Pr,0.1426
Ac Pt,0.0008
Ac Pu,0.0564
Ac Rb,0.0053
Ac Re,0.0024
Ac Rh,0.001
Ac Ru,0.0005
Ac S,0.0007
Ac Sb,0.0039
Ac Sc,0.0181
Ac Se,0.0016
Ac Si,0.0007
Ac Sm,0.1018
Ac Sn,0.0027
Ac Sr,0.0781
Ac Ta,0.0041
Ac Tb,0.0502
Ac Tc,0.002
Ac Te,0.0026
Ac Th,0.0708
Ac Ti,0.0054
Ac Tl,0.0086
Ac Tm,0.0349
Ac U,0.0192
Ac V,0.0035
Ac W,0.0014
Ac Y,0.0442
Ac Yb,0.0531
Ac Zn,0.0022
Ac Zr,0.0099
Ag Al,0.0207
Ag As,0.0113
Ag Au,0.1973
Ag B,0.0022
Ag Ba,0.0057
Ag Be,0.0086
Ag Bi,0.0227
Ag Br,0.0084
Ag C,0.0013
Ag Ca,0.015
Ag Cd,0.129
Ag Ce,0.0023
Ag Cl,0.007
Ag Co,0.011
Ag Cr,0.0058
Ag Cs,0.0125
Ag Cu,0.1185
Ag Dy,0.0059
Ag Er,0.0061
Ag Eu,0.0058
Ag F,0.0008
Ag Fe,0.01
Ag Ga,0.0274
Ag Gd,0.0032
Ag Ge,0.0223
Ag H,0.004
Ag Hf,0.0029
Ag Hg,0.2066
Ag Ho,0.006
Ag I,0.0047
Ag In,0.0643
Ag Ir,0.0218
Ag K,0.0219
Ag La,0.0054
Ag Li,0.1019
Ag Lu,0.0059
Ag Mg,0.0614
Ag Mn,0.0138
Ag Mo,0.0101
Ag N,0.001
Ag Na,0.043
Ag Nb,0.0042
Ag Nd,0.0077
Ag Ni,0.0289
Ag Np,0.0018
Ag O,0.0003
Ag Os,0.0153
Ag P,0.0052
Ag Pa,0.0016
Ag Pb,0.0327
Ag Pd,0.0638
Ag Pm,0.0025
Ag Pr,0.0073
Ag Pt,0.0418
Ag Pu,0.0022
Ag Rb,0.013
Ag Re,0.0042
Ag Rh,0.0273
Ag Ru,0.0176
Ag S,0.0046
Ag Sb,0.0104
Ag Sc,0.0063
Ag Se,0.0076
Ag Si,0.006
Ag Sm,0.0077
Ag Sn,0.0212
Ag Sr,0.0212
Ag Ta,0.0033
Ag Tb,0.0061
Ag Tc,0.0157
Ag Te,0.0066
Ag Th,0.0024
Ag Ti,0.0047
Ag Tl,0.0545
Ag Tm,0.0063
Ag U,0.002
Ag V,0.0036
Ag W,0.0093
Ag Y,0.0066
Ag Yb,0.0227
Ag Zn,0.0959
Ag Zr,0.0033
Al As,0.0102
Al Au,0.0234
Al B,0.0052
Al Ba,0.0007
Al Be,0.031
Al Bi,0.0102
Al Br,0.0003
Al C,0.001
Al Ca,0.0032
Al Cd,0.0364
Al Ce,0.0036
Al Cl,0.0004
Al Co,0.0158
Al Cr,0.0206
Al Cs,0.0006
Al Cu,0.0346
Al Dy,0.0048
Al Er,0.0055
Al Eu,0.002
Al F,0.0002
Al Fe,0.0318
Al Ga,0.2646
Al Gd,0.0027
Al Ge,0.0419
Al H,0.0016
Al Hf,0.0114
Al Hg,0.0349
Al Ho,0.005
Al I,0.0011
Al In,0.072
Al Ir,0.0122
Al K,0.0013
Al La,0.0022
Al Li,0.0198
Al Lu,0.0087
Al Mg,0.0344
Al Mn,0.0336
Al Mo,0.0121
Al N,0.0002
Al Na,0.0021
Al Nb,0.0104
Al Nd,0.0031
Al Ni,0.0196
Al Np,0.0024
Al O,0.0003
Al Os,0.018
Al P,0.0061
Al Pa,0.0039
Al Pb,0.0119
Al Pd,0.0126
Al Pm,0.0005
Al Pr,0.0025
Al Pt,0.0156
Al Pu,0.0012
Al Rb,0.0007
Al Re,0.0151
Al Rh,0.0112
Al Ru,0.0131
Al S,0.0012
Al Sb,0.0154
Al Sc,0.0275
Al Se,0.0018
Al Si,0.0532
Al Sm,0.003
Al Sn,0.0318
Al Sr,0.0014
Al Ta,0.012
Al Tb,0.0047
Al Tc,0.0173
Al Te,0.0024
Al Th,0.0021
Al Ti,0.0306
Al Tl,0.0151
Al Tm,0.0061
Al U,0.0036
Al V,0.0204
Al W,0.0115
Al Y,0.0046
Al Yb,0.0033
Al Zn,0.0964
Al Zr,0.0106
As Au,0.0187
As B,0.0109
As Ba,0.0016
As Be,0.018
As Bi,0.0518
As Br,0.0074
As C,0.0089
As Ca,0.0014
As Cd,0.0036
As Ce,0.0018
As Cl,0.0074
As Co,0.0069
As Cr,0.0115
As Cs,0.001
As Cu,0.0096
As Dy,0.0021
As Er,0.0023
As Eu,0.0012
As F,0.0007
As Fe,0.0091
As Ga,0.0308
As Gd,0.0024
As Ge,0.1127
As H,0.005
As Hf,0.0033
As Hg,0.0164
As Ho,0.002
As I,0.0035
As In,0.0082
As Ir,0.0103
As K,0.0013
As La,0.0015
As Li,0.0039
As Lu,0.0039
As Mg,0.0029
As Mn,0.0114
As Mo,0.0063
As N,0.0073
As Na,0.0013
As Nb,0.0099
As Nd,0.0018
As Ni,0.0081
As Np,0.0034
As O,0.0013
