element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
Si,21.78783,17.01016,21.256947,1.2049075,3.7075615,0.0,0.0,0.0,20.671494,14.590939,13.153813,0.0,15.300784,0.0,26.973711,0.0,0.0,1.0952659,0.0,20.643757,24.41003,29.891607,1.0552137,15.148389,4.0288243,11.216604,1.9966794,13.390121,0.0,15.071891,0.0,8.982702,0.0,0.0,0.0,22.474371,21.757486,2.0946429,6.047947,0.0,0.0,11.095625,16.924654,0.0,24.275547,20.991,0.0,14.125421,19.894272,21.92362,0.0,22.34843,4.062004,22.521143,0.0,14.27811,20.588446,22.426315,23.379133,3.1683733,23.372396,19.822813,8.463771,0.0,0.8890663,9.880671,7.398463,18.132118,4.050773,0.0,9.981496,21.981842,8.821707,9.829384,2.8542883,20.743547,0.0,3.062915,0.0,0.0,0.0,0.0,18.779163,25.499132,0.0,0.0,24.634047,19.353148,16.24147,21.157269,9.645542,11.200099,0.0,3.391715,8.513059,25.548532,15.107723,21.161842,20.772476,22.546003,5.589442,0.0,22.887157,0.0,17.144083,20.100069,0.0,24.667233,5.7420354,0.0,0.0,19.581236,21.240734,13.69009,3.9040565,22.568398,16.242575,0.0,17.357647,24.842237,0.0,18.9284,0.0,23.73332,0.0,0.0,23.577568,17.73533,12.306382,0.0,10.767611,3.4229767,19.24404,0.0,0.0,15.432888,1.4731549,0.0,0.0,2.5179832,5.718261,13.427738,19.487055,0.0,0.0,24.076256,11.610769,0.0,0.0,16.36488,20.434898,16.810425,0.0,0.0,25.137693,21.147856,19.112762,0.0,0.0,4.9845834,10.649895,24.61092,0.45693552,15.739145,17.250196,0.0,25.804316,19.165737,19.588993,10.06146,13.934317,0.0,4.5224657,23.519938,0.0,0.0,0.0,0.0,0.0,0.0,22.130142,0.0,12.821996,18.801268,0.0,20.821835,29.310041,3.656409,0.0,23.439808,0.0,0.0,0.0,23.461409,0.0,18.144602,7.557103,0.0,4.476051,0.0
C,23.23674,19.363153,21.991177,1.0270623,6.5646806,0.0,0.0,0.0,17.878582,16.845392,13.071921,0.0,17.073004,0.0,27.285488,0.0,0.0,9.940212,0.0,19.748547,20.213894,28.77224,1.673285,18.3166,4.031473,7.5328956,5.7479362,10.50222,0.0,4.4021645,0.0,5.8818088,0.0,0.0,0.0,24.771633,21.500925,1.2710898,1.2740362,0.0,0.0,11.580211,17.394032,0.0,27.105001,18.845865,0.0,9.669835,19.194576,25.995092,0.0,22.232231,2.9568937,24.430319,0.0,14.775518,21.22926,22.685575,20.430613,2.1619349,25.714598,21.189156,4.4165955,0.0,1.5986925,10.8114805,2.4186034,19.53846,5.0628557,0.0,4.557243,20.902931,3.578675,9.358661,6.3092093,19.256826,0.0,0.23435482,0.0,0.0,0.0,0.0,13.637878,26.12974,0.0,0.0,21.122469,21.022068,20.583817,28.423513,13.51141,5.065878,0.0,1.1086835,10.999967,23.585556,19.218363,22.803438,22.873508,20.387955,0.020210762,0.0,22.340466,0.0,18.749603,20.539463,0.0,25.520555,5.3250833,0.0,0.0,20.679733,21.203009,12.325272,6.4237657,20.76845,17.00626,0.0,21.577957,25.456903,0.0,19.171751,0.0,23.794346,0.0,0.0,20.41869,19.814823,17.622389,0.0,15.441568,0.99737877,19.70235,0.0,0.0,14.027792,0.9753115,0.0,0.0,3.7611268,2.2878907,8.3602295,22.025293,0.0,0.0,21.22745,8.514691,0.0,0.0,17.438402,16.515396,16.152954,0.0,0.0,28.406408,26.647137,17.69886,0.0,0.0,5.301308,4.8407273,19.221802,0.002473317,10.736841,17.683802,0.0,28.698454,22.27466,22.05583,17.548986,15.970858,0.0,13.584973,25.589987,0.0,0.0,0.0,0.0,0.0,0.0,22.51218,0.0,15.834044,21.324568,0.0,16.305408,30.646994,3.5465076,0.0,27.037363,0.0,0.0,0.0,26.594429,0.0,19.966047,3.5089505,0.0,1.0864664,0.0
Pb,20.237226,19.02269,24.136734,2.0053716,4.682132,0.0,0.0,0.0,19.727293,14.714456,13.774404,0.0,15.700067,0.0,28.329926,0.0,0.0,5.4606934,0.0,21.358994,22.638424,27.237484,0.6118873,15.44722,9.217439,5.7382746,5.473961,13.324893,0.0,8.718146,0.0,3.917296,0.0,0.0,0.0,25.167383,21.318344,3.771215,4.625196,0.0,0.0,3.6217425,18.267681,0.0,27.474771,17.434883,0.0,11.871442,16.952732,24.039303,0.0,23.772856,9.979274,14.407176,0.0,17.381956,20.279467,21.69531,24.283264,7.833048,22.775904,21.16422,5.768345,0.0,0.9969214,7.9235935,7.7421203,17.780308,6.369354,0.0,8.602952,21.202728,4.6497674,10.782142,5.901929,20.754755,0.0,5.6408906,0.0,0.0,0.0,0.0,20.047941,26.056,0.0,0.0,22.388613,21.580723,16.972233,23.620852,6.0174913,8.253267,0.0,5.4466953,6.222224,24.59109,12.743053,19.538712,22.534315,19.794283,8.312686,0.0,23.794146,0.0,15.4907255,22.530985,0.0,22.713938,12.380712,0.0,0.0,17.537159,16.507296,12.930432,3.2026956,20.949476,19.080555,0.0,17.709219,22.067314,0.0,20.37314,0.0,23.864697,0.0,0.0,18.701532,16.962942,13.249654,0.0,6.961776,6.501537,18.782967,0.0,0.0,11.693251,0.41656947,0.0,0.0,4.422049,5.1527963,9.719749,20.85096,0.0,0.0,28.372282,6.57808,0.0,0.0,17.880224,16.898926,19.066929,0.0,0.0,26.310482,26.012794,22.740387,0.0,0.0,8.351568,4.761967,24.498055,0.0,11.529022,22.256714,0.0,27.31497,20.339231,19.66054,10.128388,12.890777,0.0,12.034252,23.64096,0.0,0.0,0.0,0.0,0.0,0.0,19.925259,0.0,11.828056,18.021421,0.0,19.2896,27.1494,3.9077806,0.0,26.18107,0.0,0.0,0.0,22.866034,0.0,18.391323,8.434758,0.0,5.7341375,0.0
I,20.732704,18.461723,22.848885,2.10684,8.337015,0.0,0.0,0.0,21.66813,15.220421,15.6096525,0.0,18.297626,0.0,26.170341,0.0,0.0,10.418103,0.0,20.444017,22.076126,28.91513,2.795428,19.37219,9.11202,7.755619,8.87883,3.8122828,0.0,2.2153769,0.0,5.860727,0.0,0.0,0.0,22.300522,24.543219,2.0857499,2.2065809,0.0,0.0,5.463118,15.672256,0.0,24.60232,15.060413,0.0,9.015657,18.310072,23.80163,0.0,20.752216,8.352023,23.864046,0.0,12.474641,22.656784,22.700499,20.046553,8.142791,24.401554,22.045229,1.3778172,0.0,0.6017979,7.450682,8.408933,16.519917,3.3172858,0.0,4.0028367,21.640009,4.866542,7.9645543,8.359819,20.822706,0.0,3.4518878,0.0,0.0,0.0,0.0,16.111773,25.467716,0.0,0.0,17.92827,21.136208,20.759731,27.469524,11.916324,5.0256853,0.0,10.310513,6.1313376,20.470179,15.818275,21.927206,20.957108,20.250824,1.7752279,0.0,23.731148,0.0,15.698853,20.133245,0.0,23.49028,6.0939093,0.0,0.0,17.890266,22.62382,12.522343,9.267331,20.762432,16.139032,0.0,16.165106,27.205292,0.0,19.292816,0.0,23.69138,0.0,0.0,14.783488,20.063972,16.077738,0.0,16.138151,5.156941,13.5901785,0.0,0.0,13.37599,5.3239512,0.0,0.0,5.110079,4.926453,7.168699,17.302843,0.0,0.0,25.303337,3.7192366,0.0,0.0,14.97011,22.402351,18.347101,0.0,0.0,26.330393,25.97964,20.376438,0.0,0.0,8.697263,5.1611295,23.932695,0.0,16.249659,23.65291,0.0,27.952755,21.621967,23.323545,16.191378,6.287792,0.0,14.9081135,26.769861,0.0,0.0,0.0,0.0,0.0,0.0,18.990633,0.0,11.550008,15.1617155,0.0,15.713351,27.354134,3.0675807,0.0,23.723461,0.0,0.0,0.0,25.29996,0.0,18.32521,2.090016,0.0,3.6734176,0.0
Br,18.442368,17.466574,22.948912,1.3132211,8.280018,0.0,0.0,0.0,20.179613,14.457025,16.04978,0.0,18.35174,0.0,26.505613,0.0,0.0,8.391149,0.0,20.097347,20.292622,28.225836,2.7732878,16.400091,11.253368,9.18673,6.9703236,9.810938,0.0,4.1253734,0.0,4.5787735,0.0,0.0,0.0,21.936554,21.18802,1.5098988,2.648414,0.0,0.0,8.163444,16.566938,0.0,27.942402,16.380371,0.0,11.398202,19.43272,26.089682,0.0,21.360327,4.26767,21.57318,0.0,14.303242,22.86715,22.437202,23.003786,6.7705874,23.081936,20.774431,4.612326,0.0,0.8345433,10.196139,7.8279996,19.050186,3.8425,0.0,5.570256,20.470749,4.744492,8.651329,7.264576,20.783066,0.0,2.737475,0.0,0.0,0.0,0.0,16.29868,23.84043,0.0,0.0,19.408794,19.592289,19.402464,27.917725,13.56224,6.443609,0.0,5.178088,8.947225,19.722597,14.871717,22.146475,21.86067,19.762737,3.0454888,0.0,21.228115,0.0,14.564348,22.649544,0.0,24.159142,3.9066,0.0,0.0,16.574432,21.083967,11.959171,7.2449627,19.5842,16.651054,0.0,18.014288,26.210327,0.0,21.473457,0.0,22.568727,0.0,0.0,16.942722,19.026451,16.766342,0.0,14.902551,5.1325455,18.370792,0.0,0.0,11.74064,2.85685,0.0,0.0,5.4005136,7.0330234,14.301,18.499636,0.0,0.0,21.272467,3.5560327,0.0,0.0,14.5915,19.541172,18.41424,0.0,0.0,28.201557,25.360651,20.4926,0.0,0.0,9.233947,6.001054,20.567242,0.012891524,16.693213,22.271908,0.0,27.666464,19.407072,22.96032,15.20687,6.251893,0.0,13.304377,25.339808,0.0,0.0,0.0,0.0,0.0,0.0,18.485798,0.0,14.146695,17.351645,0.0,17.271824,25.175966,2.5530233,0.0,25.34536,0.0,0.0,0.0,22.177328,0.0,20.415575,4.8118215,0.0,5.038953,0.0
Cl,20.51935,19.230686,21.307255,1.3617328,5.140607,0.0,0.0,0.0,19.267145,17.407934,16.678385,0.0,18.405428,0.0,27.962301,0.0,0.0,11.183428,0.0,20.599424,21.506159,31.296566,0.875339,19.677076,10.264973,9.729306,5.7882957,6.9532776,0.0,3.2726393,0.0,6.8710074,0.0,0.0,0.0,26.755663,24.608881,1.8810959,2.9853003,0.0,0.0,6.224204,18.78339,0.0,29.912628,17.40698,0.0,10.109048,20.754103,26.158167,0.0,24.73257,0.6455278,25.480114,0.0,14.956563,23.682343,21.332083,24.767517,6.612595,23.715565,20.57457,6.4457016,0.0,1.0038086,7.90753,6.178908,19.605726,4.597791,0.0,3.9959235,22.259922,6.1235237,5.775658,6.0885477,21.181906,0.0,3.216277,0.0,0.0,0.0,0.0,15.436562,25.13505,0.0,0.0,22.478523,22.089043,18.426857,27.512943,9.280527,3.6636903,0.0,1.5686108,9.649171,23.812784,16.345467,22.921051,24.598345,20.880981,2.2643495,0.0,23.280092,0.0,14.457529,21.551111,0.0,27.369377,3.8888292,0.0,0.0,18.708006,23.592684,12.102043,4.607253,22.217272,19.078772,0.0,17.93982,26.182297,0.0,21.960796,0.0,26.306732,0.0,0.0,22.402178,20.1671,14.442683,0.0,12.171986,0.27197674,17.472305,0.0,0.0,10.264432,2.7476158,0.0,0.0,4.2247133,1.9225634,7.251645,22.844408,0.0,0.0,24.66375,6.118247,0.0,0.0,17.340052,18.931013,20.765593,0.0,0.0,26.233315,25.435186,19.36873,0.0,0.0,5.5682907,6.092228,22.406557,0.08034422,18.237223,15.655038,0.0,29.098402,21.71662,24.097929,11.517542,6.2553306,0.0,11.916876,25.189322,0.0,0.0,0.0,0.0,0.0,0.0,22.056808,0.0,14.596907,21.604279,0.0,17.59949,29.314127,4.544483,0.0,27.994287,0.0,0.0,0.0,25.769934,0.0,18.316305,2.1574326,0.0,5.0746965,0.0
Eu,19.524046,17.23675,20.483953,0.0068381056,4.8718886,0.0,0.0,0.0,20.186699,17.051693,11.272703,0.0,15.74572,0.0,20.342352,0.0,0.0,10.798964,0.0,20.225088,20.172031,27.767416,0.02054885,17.237013,8.9968195,5.4035254,14.888985,8.977219,0.0,9.480827,0.0,4.491193,0.0,0.0,0.0,23.611698,23.20626,6.5143657,12.1871195,0.0,0.0,2.2513936,15.951945,0.0,28.994898,13.11643,0.0,10.8719635,22.075392,23.207483,0.0,26.513256,11.449037,16.200174,0.0,15.42424,18.474466,19.368519,18.481293,10.0527725,23.398378,19.720503,7.037852,0.0,0.6479425,3.591304,5.744331,15.839932,12.219792,0.0,10.667087,20.096205,4.656058,13.562467,10.645779,16.782846,0.0,7.8330092,0.0,0.0,0.0,0.0,14.233051,20.177887,0.0,0.0,20.141424,17.397259,14.686422,21.936457,5.700186,10.105931,0.0,11.831414,2.3244305,21.606352,12.118618,14.649661,18.675583,17.815672,10.681588,0.0,21.849451,0.0,13.919347,21.486935,0.0,20.296654,13.501873,0.0,0.0,13.078093,17.108427,8.1467905,5.276232,16.092688,20.035763,0.0,14.523415,22.728985,0.0,16.189295,0.0,19.261545,0.0,0.0,22.571812,14.907197,16.008198,0.0,13.517197,11.713729,14.726173,0.0,0.0,12.483918,0.8875556,0.0,0.0,6.0185466,5.58732,14.004049,19.907547,0.0,0.0,26.273422,5.732787,0.0,0.0,20.472755,14.039288,16.137503,0.0,0.0,27.214117,23.15814,13.984444,0.0,0.0,8.665152,6.2957034,19.765907,0.0,9.887146,21.318403,0.0,24.90329,19.890947,18.359936,6.8098903,5.242833,0.0,10.848875,23.623808,0.0,0.0,0.0,0.0,0.0,0.0,18.972305,0.0,5.3557415,8.350232,0.0,18.584074,23.578014,5.6019473,0.0,23.449175,0.0,0.0,0.0,20.94875,0.0,18.486776,7.796498,0.0,5.475597,0.0
O,20.78942,25.030426,22.914875,1.5635229,3.9783854,0.0,0.0,0.0,25.553127,12.874293,15.381601,0.0,17.539925,0.0,34.06909,0.0,0.0,9.452703,0.0,20.532236,23.349167,36.007057,0.002241373,18.789549,3.8999822,2.2690122,1.9409989,4.103881,0.0,0.721823,0.0,1.7245321,0.0,0.0,0.0,30.356365,26.804327,1.5547303,0.9689256,0.0,0.0,4.4551926,23.093819,0.0,34.6246,15.054573,0.0,12.211394,22.885094,27.99085,0.0,17.83652,0.00061576813,21.326855,0.0,17.407463,22.401316,23.345625,29.179846,6.7966104,22.1221,23.965261,10.173617,0.0,0.17580707,2.2907012,5.817241,19.02449,0.024528366,0.0,3.1664667,20.630577,0.0,0.0073175114,1.0441325,26.97567,0.0,0.36520478,0.0,0.0,0.0,0.0,15.717696,31.13507,0.0,0.0,26.807951,26.966736,24.70152,25.923885,8.287279,0.0,0.0,0.18312709,0.849606,20.710608,16.529224,28.38605,25.702404,22.055723,0.75540364,0.0,30.051287,0.0,15.552937,23.83747,0.0,25.260939,1.5150913,0.0,0.0,26.646658,20.234262,15.307533,0.0,26.253986,21.193403,0.0,18.881308,32.583576,0.0,24.75067,0.0,33.47841,0.0,0.0,19.379011,24.925291,11.381015,0.0,11.976846,0.0,16.352291,0.0,0.0,14.592674,0.08057271,0.0,0.0,1.7712066,3.5373838,0.0,26.941414,0.0,0.0,25.708027,2.1776536,0.0,0.0,19.441826,22.926908,25.629934,0.0,0.0,28.01412,25.654688,19.807531,0.0,0.0,0.0,1.0096186,25.213121,0.0,16.64604,14.150209,0.0,33.885406,24.05118,25.378431,16.902906,7.9272966,0.0,7.4043183,26.659084,0.0,0.0,0.0,0.0,0.0,0.0,19.686666,0.0,7.3370767,24.365307,0.0,17.673306,33.64416,5.2149777,0.0,25.208466,0.0,0.0,0.0,26.851248,0.0,20.261036,0.0,0.0,0.35068047,0.0
Fe,25.266176,20.641142,24.417866,1.6266699,3.4290073,0.0,0.0,0.0,23.605045,19.04927,16.904781,0.0,20.325006,0.0,31.41892,0.0,0.0,5.9765944,0.0,22.316637,29.727983,31.498964,0.72340506,20.506998,1.7322795,3.0787532,6.828251,5.7817693,0.0,8.39708,0.0,12.3868475,0.0,0.0,0.0,23.389664,26.234203,1.9536153,2.6301525,0.0,0.0,1.594437,22.280787,0.0,31.731234,19.494297,0.0,6.9613314,21.041277,26.621939,0.0,26.257153,0.0,25.32733,0.0,15.887765,23.748371,23.22675,27.268387,5.094183,25.563467,22.434288,4.820944,0.0,0.48532826,8.95252,1.9159429,17.369133,1.0925128,0.0,2.549804,23.262959,11.104097,6.85045,0.018669125,22.85591,0.0,6.3169694,0.0,0.0,0.0,0.0,17.881042,26.539478,0.0,0.0,25.060446,26.003304,20.083206,25.000473,0.065587364,1.5068688,0.0,2.1899185,4.485596,26.107706,16.662687,22.896143,25.541756,23.492132,3.7544866,0.0,28.288946,0.0,15.9125595,19.280466,0.0,26.938526,3.559128,0.0,0.0,21.462755,24.359005,15.6649475,0.44923428,23.047972,21.098164,0.0,20.012693,30.202765,0.0,21.007055,0.0,27.10184,0.0,0.0,23.370182,20.944483,11.073513,0.0,3.70304,0.034131568,14.280678,0.0,0.0,8.081376,1.0940843,0.0,0.0,0.0,1.8730012,1.2869141,22.063486,0.0,0.0,29.302876,13.484398,0.0,0.0,20.02258,22.33074,21.012056,0.0,0.0,29.614122,25.117414,21.26066,0.0,0.0,0.0,5.290279,24.49054,0.029377334,19.589558,18.197634,0.0,30.085564,21.648087,25.372225,8.197998,3.3730335,0.0,7.3554325,25.34844,0.0,0.0,0.0,0.0,0.0,0.0,22.115572,0.0,2.4073212,16.316822,0.0,19.768581,31.544886,4.686553,0.0,26.182716,0.0,0.0,0.0,27.187382,0.0,17.743519,2.3945067,0.0,3.2751713,0.0
Sb,21.484007,19.029802,22.069616,2.1598322,5.351618,0.0,0.0,0.0,22.23572,17.136127,12.358293,0.0,17.908861,0.0,28.233208,0.0,0.0,8.43055,0.0,21.091057,24.050934,31.868086,0.9055818,17.037016,6.770495,3.7680357,7.963851,9.462757,0.0,8.119775,0.0,9.133713,0.0,0.0,0.0,24.059797,21.68459,1.9760107,3.230185,0.0,0.0,5.4487166,19.270596,0.0,28.844963,17.46611,0.0,11.137653,19.378862,24.955181,0.0,21.551155,2.583131,22.929823,0.0,15.641881,21.68479,19.505636,23.436846,7.0392957,23.317965,21.271421,4.7477245,0.0,0.70174474,9.558348,9.527847,17.313072,6.3263764,0.0,5.4357023,21.776197,8.675624,11.952858,6.252672,19.05888,0.0,8.071311,0.0,0.0,0.0,0.0,16.791458,24.550959,0.0,0.0,23.5243,21.67413,17.999508,23.12663,4.0841517,3.6107848,0.0,9.585856,6.8583975,27.18137,16.457823,19.881512,21.292423,20.88767,5.525445,0.0,23.658413,0.0,17.888062,22.108568,0.0,26.832243,12.18158,0.0,0.0,17.890726,20.251045,10.845583,6.8215227,20.322588,19.236704,0.0,16.117434,25.345167,0.0,20.587408,0.0,23.295975,0.0,0.0,19.3162,19.69463,15.010261,0.0,6.8509626,4.702587,16.81465,0.0,0.0,11.274855,2.651519,0.0,0.0,6.3562484,1.5255808,8.807237,17.76926,0.0,0.0,27.671072,7.4988546,0.0,0.0,15.497107,21.675224,19.246975,0.0,0.0,27.744797,24.750128,22.35287,0.0,0.0,2.536121,6.384987,22.14641,0.0,16.041002,18.106855,0.0,28.099821,22.523878,21.333302,8.965938,7.183322,0.0,10.820862,22.639107,0.0,0.0,0.0,0.0,0.0,0.0,18.920017,0.0,9.2208,17.103882,0.0,18.634018,29.470842,5.249189,0.0,25.29347,0.0,0.0,0.0,25.743574,0.0,18.580229,3.2507467,0.0,5.811391,0.0
