element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Si,4.5077305,10.055019,0.0,17.674982,12.18565,0.0,12.051469,37.2049,49.14105,0.0,0.0,35.468655,37.51334,0.0,33.962074,0.0,31.63586,34.858295,0.0,36.470993,31.50425,0.0,33.835358,37.698696,19.625938,40.16257,42.157066,29.681717,14.549721,39.130676,0.0,40.817326,8.44766,24.86295,0.0,9.925642,35.524548,0.0,16.707188,29.990513,37.494743,0.0,39.64068,34.05222,9.625426,39.606895,0.0,0.0,35.806244,40.934673,0.0
C,3.9626894,8.8679,0.0,17.465382,2.7062588,0.0,5.289559,42.25436,53.75014,0.0,0.0,33.89127,36.945484,0.0,35.162937,0.0,34.1,34.917778,0.0,37.869637,30.628391,0.0,31.594156,36.684753,19.692568,40.312252,44.081688,29.070066,15.089019,41.65277,0.0,43.866642,11.512761,19.991722,0.0,8.058946,32.98685,0.0,21.775885,29.757856,34.56033,0.0,44.953423,37.90599,8.075808,43.300606,0.0,0.0,36.041798,40.314297,0.0
Pb,8.820704,12.735446,0.0,23.438198,11.740765,0.0,6.13189,38.771114,51.524925,0.0,0.0,33.89991,36.85502,0.0,34.840046,0.0,32.78641,33.06715,0.0,38.879204,32.39614,0.0,32.286694,37.0924,19.25765,38.909836,41.727753,32.66188,12.456089,41.207096,0.0,40.84598,14.318077,15.585895,0.0,13.231809,35.64596,0.0,12.889259,32.60225,35.72492,0.0,37.95012,35.03111,13.796347,37.03582,0.0,0.0,37.05051,40.407467,0.0
I,9.69877,12.54796,0.0,25.123158,4.6737547,0.0,8.14305,39.87635,51.952484,0.0,0.0,33.304184,34.305737,0.0,31.51583,0.0,33.37629,34.94155,0.0,35.156605,30.432243,0.0,31.867031,35.5039,19.48793,40.47492,40.13418,32.089878,9.985708,43.01871,0.0,43.74808,12.955992,14.039399,0.0,14.968032,35.402016,0.0,11.5825405,32.863316,31.758919,0.0,42.3376,38.51562,13.251274,40.95166,0.0,0.0,36.011955,38.5408,0.0
Br,9.336328,12.524172,0.0,24.821945,4.4970016,0.0,7.2540145,41.190342,52.614807,0.0,0.0,31.428411,35.232533,0.0,31.927162,0.0,32.790573,33.815956,0.0,34.8839,30.220387,0.0,30.606203,36.952564,18.764992,40.300556,40.46759,31.085964,14.995978,42.558132,0.0,42.264317,12.663846,20.163218,0.0,12.286313,33.767597,0.0,16.008532,30.701385,32.629013,0.0,41.124584,36.882984,13.632057,39.568695,0.0,0.0,35.02476,38.589508,0.0
Cl,5.784864,6.4849143,0.0,21.28035,7.0967712,0.0,6.380967,42.622074,55.424023,0.0,0.0,35.3027,37.936565,0.0,36.709564,0.0,36.060616,36.145332,0.0,39.825577,31.217411,0.0,33.28459,38.675163,20.55872,43.339123,45.44976,30.528778,8.93489,46.20046,0.0,43.32015,9.034712,17.793,0.0,9.027461,36.168755,0.0,14.347168,33.809387,37.93896,0.0,44.139072,39.30663,8.984226,43.137947,0.0,0.0,37.487408,41.40583,0.0
Eu,16.43418,18.547327,0.0,33.105705,13.798929,0.0,7.1151624,34.6169,48.47801,0.0,0.0,29.919611,32.349518,0.0,29.916191,0.0,31.530128,30.291822,0.0,33.460304,31.17248,0.0,30.637877,34.957165,17.683891,36.450985,36.828873,31.712875,10.986384,40.28371,0.0,35.490055,16.823738,11.146664,0.0,16.750387,34.12762,0.0,9.081557,25.594412,33.09794,0.0,32.920567,32.506916,20.958101,29.868916,0.0,0.0,36.58629,35.9185,0.0
O,0.0,0.43565044,0.0,10.502694,3.4327772,0.0,0.089111544,43.714294,58.16176,0.0,0.0,39.991825,43.820908,0.0,35.437103,0.0,38.585854,39.60613,0.0,45.134586,36.158566,0.0,33.77575,38.421875,22.897665,41.68762,54.9131,28.15572,0.468201,56.071087,0.0,49.749664,2.7712235,6.3765078,0.0,0.0061792284,43.531925,0.0,9.551764,32.334366,40.941124,0.0,50.404675,45.152016,0.0014947355,47.555122,0.0,0.0,46.16797,49.06409,0.0
Fe,0.5112878,0.0,0.0,14.622053,13.595932,0.0,10.34654,40.659554,53.99676,0.0,0.0,40.46511,43.926067,0.0,39.273563,0.0,38.63938,41.050964,0.0,45.19363,35.845108,0.0,38.9516,43.900223,24.499413,45.6357,46.902153,29.666248,0.0,51.877907,0.0,44.585167,0.0018111467,16.050041,0.0,4.312664,42.360603,0.0,4.5788827,40.14485,39.499264,0.0,42.534313,41.41155,6.436305,43.49343,0.0,0.0,40.078243,45.080936,0.0
Sb,7.4645658,10.655207,0.0,20.282917,13.264785,0.0,10.95156,39.615833,53.340534,0.0,0.0,35.032738,38.30717,0.0,35.031315,0.0,35.83142,35.425186,0.0,37.77465,33.17645,0.0,33.34252,40.97986,17.979918,40.661495,40.762947,30.127403,7.1157727,42.379368,0.0,42.446148,9.533211,16.9887,0.0,13.195852,37.679794,0.0,9.227454,33.62927,34.580517,0.0,40.753185,38.212486,13.306137,39.80151,0.0,0.0,38.011528,40.97222,0.0
