element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber
H,0.3790275399780566,0.0175570802442457,0.0202956949477486,0.0250797552556046,0.0456000615047043,0.0558266149140598,0.0398665527998492,0.026657443731507,0.0321014176557288,0.1062476409344285,0.0396308554140762,0.1137804018861442,0.1129760935093141,0.0506934960160467,0.0932714379910679,0.0603837173221629,0.1143175762159648,0.1128304714252469,0.0901403706351055,0.0624129417533829,0.0598893732615227,0.0917960384875386,0.0074505385817347,0.0802772282988132,0.0448080208229441,0.0419876339528132,0.0432335918193203,0.0367398849695801,0.0370844692310249,0.0381982099914669,0.0307849787226968,0.0318357159480035,0.0330226833228055,0.0630784240389197,0.0266929557720225,0.0289744990968228,0.0304369881534181,0.2441007500843428,0.0639436381262434,0.140980881239186,0.1607991588900687,0.0624756530451128,0.0439272801878478,0.1341001808966118,0.1364182245542828,0.0707066384678711,0.0997259148478621,0.1394855500306662,0.1012021955111567,0.1228522822902902,0.0921991052679418,0.0745376001489872,0.0684573733105582,0.0990886531006803,0.1075136004174132,0.1058512219177822,0.0791959098100383,0.0678181613543403,0.0905538686837602,0.0140625265716459,0.0871497273564306,0.0446953271011926,0.0481899554952072,0.0499184531266417,0.0389189487605794,0.046302793511169,0.0462490355070722,0.0317757158797948,0.0367830155273376,0.0391084751310659,0.0782572012186242,0.0292693727191623,0.0379700958786394,0.0390677811555948,1.0,92.0,1.00794,14.01,1.0,1.0,31.0,2.2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6.615,7.853,0.0,194.0
He,0.0030595238095238,0.0005,0.0005,0.0005,0.0060238095238095,0.0480714285714285,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.1411190476190476,0.0996309523809523,0.0557857142857142,0.0110238095238095,0.0072619047619047,0.0785238095238095,0.0498095238095238,0.0005,0.0005,0.0005,0.0013095238095238,0.0126904761904761,0.0188809523809523,0.0005,0.0005,0.0005,0.7311428571428571,0.0848809523809523,0.1029642857142857,0.3881666666666666,0.0320390448941931,0.0192677684102648,0.0515891390468122,0.1264754407375569,0.0842690608353036,0.0927143638726609,0.0182686103514893,0.0535841446568212,0.0754823724669529,0.0143484580245008,0.0456840070187045,0.0120475103163002,0.022591123535759,0.021772120733841,0.0024234932209183,0.0022198440729829,0.0050715018148081,0.1055191212134554,0.0793891379605326,0.043291515635102,0.0069533554962374,0.013819562560697,0.0610442941357194,0.0659893798045267,0.01938185626774,0.0227979421338086,0.0404757713837534,0.0056571964814475,0.0156716554651687,0.0236775818664369,0.006140419638788,0.0062499801632513,0.0123820654429596,0.3672102014910992,0.0128277074685173,0.0510574412656446,0.2028336402195809,2.0,98.0,4.002602,1211.4,18.0,1.0,28.0,1.63,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.305,18.098,0.0,225.0
Li,0.0746796521179296,0.0655411375543918,0.0954342254240306,0.0924970306811122,0.0417208784743806,0.058476167747092,0.0882823239499162,0.1019301904804201,0.0686373767871418,0.1495873368262155,0.2539137343486397,0.1422949282923372,0.1993753052570832,0.182688421321376,0.0584217209839269,0.0884234970251316,0.0984252286653058,0.1256114410354324,0.2516842143237746,0.1615421643282135,0.06401162196963,0.0742005816534948,0.0538310374300685,0.1287405481307174,0.0242725113222624,0.0371853354497823,0.0441809619483171,0.0341644669656334,0.056498201758281,0.064707530414706,0.0198900574993337,0.0311357172986412,0.0378014496936327,0.1475608460616302,0.0317253685285496,0.0480416870171388,0.0631173186217921,0.0947811226520729,0.054320107063861,0.0920923424494448,0.1210400970044609,0.0769133714240783,0.0606081267266616,0.1165305965497061,0.1094835629287094,0.0883806700794494,0.1226857356158966,0.2094107406769133,0.135079827906415,0.1726391695925518,0.1588118892329192,0.0501297987179714,0.0699613047243938,0.0808611387021861,0.1070409111613532,0.1877713262540093,0.1231801891203033,0.0763185661086194,0.0850393476489039,0.0486871879580101,0.1014965474541945,0.0307893216859674,0.0416517885814637,0.0486909002365497,0.0316986465401345,0.045949809625227,0.0572978670981697,0.0226070601301344,0.0295038148072306,0.0396671245795939,0.1280213692319831,0.0298175527331972,0.0396839667235434,0.0582301553008519,3.0,1.0,6.941,453.69,1.0,2.0,128.0,0.98,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16.5933333333,0.0,0.0,229.0
Be,0.0206514015645371,0.0082405475880052,0.0356000108648412,0.0444813396349411,0.0074091970882225,0.0116917101260322,0.0796122338113859,0.0949366851368965,0.0308158681008256,0.0881093817905258,0.4199027596697076,0.0516110658409384,0.1649100119513254,0.1640925412863971,0.0350219741416774,0.0489114515428072,0.059564971751412,0.0929106638418074,0.0503725010864839,0.0396633528900476,0.0481652542372879,0.0445057583659276,0.0314529823989569,0.0670616579747932,0.0434269611038677,0.0459722674923944,0.116153357235984,0.0613863265971314,0.056545143415906,0.1771765265102121,0.0134200890916992,0.0201215232507605,0.0295990873533246,0.2248504454584952,0.0189416286397219,0.0339539059104736,0.1403791286397211,0.054859160140827,0.0178456510890437,0.0587459563183199,0.1231088683076972,0.0667522020932054,0.0367161305601923,0.1209240409202725,0.0980595252298973,0.0541812938603938,0.0629734315022322,0.1632954864827846,0.0598653151317131,0.093627773718755,0.0797047200291319,0.0362393345396173,0.0380815216203698,0.0487791537015769,0.0840460392789794,0.0556123977511008,0.0376689117600875,0.03878044230461,0.04358527921264,0.0192505140927186,0.0630009730695074,0.0575183020051734,0.0490912913025745,0.1141605380818658,0.0649712924097983,0.051221993987348,0.1635159755057902,0.0201523790069507,0.0195523948748789,0.0262995102569669,0.2155937863615453,0.0270596832694346,0.0359520904616757,0.1271728826633703,4.0,67.0,9.012182,1560.0,2.0,2.0,96.0,1.57,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0,194.0
B,0.0550044312924355,0.023191668419155,0.0828001712431658,0.130104762512769,0.0351203358769453,0.0153297895511625,0.332949505798235,0.1813059394339977,0.0508078321216128,0.0704902999759662,0.2284502380880869,0.0584558861082739,0.1120151865649228,0.1087267582467108,0.0913805541368751,0.0804053167998561,0.0896169823649587,0.1398552732379991,0.1056233326323383,0.1142668201345916,0.0814473652586678,0.0998707902721867,0.0196471001321876,0.0977321509042845,0.0398050456648441,0.0558828223577481,0.0798247461395186,0.0391576563720484,0.0467119171723849,0.0635530741152437,0.0349091772817401,0.0338185498407738,0.0496181127200627,0.1128263684431897,0.032606061857838,0.0317126795048969,0.0499726536682089,0.1093124351023664,0.0489698595531071,0.1161194620501104,0.1890449513440857,0.0745584532849583,0.033329374600171,0.1739642023464216,0.1172383250715827,0.0590654694952716,0.0724220005178661,0.1063861107883402,0.0722861057639232,0.0875232201373401,0.0734164585005884,0.0706156323459249,0.0667573528406991,0.0771288697278477,0.111158799508108,0.0895519732691778,0.0813700005320505,0.0649905980091141,0.0819155163462374,0.0130929435513702,0.0892809999072495,0.0430078094531535,0.0469670806994593,0.0671566873905674,0.0416267475194348,0.0445731072765846,0.0615078042712668,0.0352083106811572,0.035221353572904,0.0519727312034979,0.1188979342342781,0.0348845235392853,0.0388529515634114,0.0559855461503294,5.0,72.0,10.811,2348.0,13.0,2.0,84.0,2.04,2.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,5.0,7.1725,1.524,0.0,166.0
C,0.202287744861209,0.0322030399024947,0.0859708417515815,0.1462073853654255,0.0798960108485595,0.2186952877942735,0.2681902780217849,0.1908968810391781,0.0668436950983838,0.112531266470485,0.1339102880138795,0.1145195394852426,0.1309228193078008,0.0863284653900213,0.0713081188510193,0.0723288057800425,0.1053837403373159,0.1086532331561841,0.1439105378162333,0.0928156101765636,0.073508707396346,0.1079416450720313,0.0109613492621222,0.0882581940662334,0.0450099893490866,0.0469935710207309,0.0487186045107168,0.0328211524947295,0.0390767606948349,0.0399938372935699,0.0299347055077302,0.0333940316452916,0.0356239102029163,0.0788541566013706,0.0261988563993324,0.0300200747760014,0.0342863887912861,0.2492933898708317,0.0537921822189717,0.0862512809950127,0.1019771880051413,0.068390948812058,0.1125890283044504,0.11729902055317,0.1010698315994217,0.0708092802772626,0.096018308985144,0.1012793561200323,0.1026674522193022,0.1112247034610978,0.0811960665346512,0.0681656143424408,0.0734801889887167,0.0938941705503721,0.097257186144967,0.1248882894317355,0.0864854249930816,0.0624750221127159,0.0873135800996758,0.0128324253502568,0.0803135922259457,0.0397114158052097,0.0475718776918957,0.0478149289817354,0.0339147619412725,0.0438676330482986,0.0439546215201081,0.0289338262058847,0.0345397372179477,0.0372932460672824,0.0887947771094589,0.0271897348655102,0.0403345020841777,0.0419477034996801,6.0,77.0,12.0107,3823.0,14.0,2.0,76.0,2.55,2.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,5.64,4.496,0.0,194.0
N,0.1965974319050811,0.0570979197051521,0.1516241771453356,0.2218354093578781,0.106331420730025,0.1078978477669599,0.2095783116204821,0.1711723510977968,0.0810216750758803,0.1082459448539559,0.1606313758918367,0.1137386795892625,0.137114115652962,0.1158018915802751,0.0606536102132526,0.0723781780913716,0.0938754138909695,0.0984162240332691,0.113072800465135,0.080112896152785,0.0626908973550398,0.0806843145177186,0.0197274404785368,0.0814143886239113,0.0378433102408452,0.0471130957073594,0.0518401641767513,0.032682883144783,0.0423305535298986,0.0480836453939848,0.0274950899720131,0.0342782012495566,0.040300137470929,0.0917075860301947,0.0280238061216444,0.0359120900508494,0.0449459207103157,0.2105713649635505,0.0549450220036295,0.1046305567803783,0.1310563876032755,0.0747843795035959,0.1034165554699179,0.1174704619075384,0.1045821555931506,0.0695423295098021,0.1046015762848674,0.1294653560409989,0.1079699158458802,0.1274667658574735,0.1016852937490689,0.0645946752662973,0.0712721441160921,0.0947386598590947,0.0997852857566458,0.1281561099945853,0.0878548171221696,0.0625977710864527,0.0846613014987456,0.0170227096275962,0.0857947622947221,0.0379636931416017,0.0448417662476311,0.0498390367605419,0.0344214991281902,0.0447181541285732,0.0495239492697446,0.0282720677614249,0.0349726670982134,0.0403651415527163,0.099869401626092,0.0279775779203755,0.0408646081517532,0.0474652406084221,7.0,82.0,14.0067,63.05,15.0,2.0,71.0,3.04,2.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,3.0,14.76875,6.437,0.0,194.0
O,0.1688333162419947,0.0490560406507126,0.1134286590146778,0.2333062854210996,0.2473655487698272,0.1436095880393358,0.1383471040771754,0.1288662706407339,0.1220227103545943,0.1047289287328158,0.1192031720292003,0.1268157511088641,0.1389198229045909,0.1229997564063943,0.0517218557764467,0.0541019157653647,0.0758835052665979,0.0770414922789738,0.067984448170543,0.0531691773563183,0.0578354894197328,0.0722644464961522,0.0049090224112841,0.0812436774934974,0.0501395159262138,0.0386310005729241,0.0547898824429698,0.0455617977981423,0.0389436979358595,0.0574099554302713,0.036850795470134,0.0331883563601299,0.0495164157546055,0.1072658712413623,0.0341583255889955,0.0315062962811039,0.0511545261003236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
F,0.1722340437074478,0.0454199608495557,0.0757806716154762,0.1308652745504036,0.1849705761354093,0.1150443991356167,0.0812579227660287,0.0772332480402175,0.0650756584598415,0.0636709644752665,0.0715348601705261,0.0682617790395934,0.0771335432508433,0.0673751435365603,0.0509870726679267,0.0546666719409762,0.065395568676028,0.0840310965741105,0.0671508625756111,0.0566101569634445,0.0553169626307654,0.0655561962585558,0.0063228736245354,0.0765581153536655,0.0434473186918508,0.0395169531370085,0.0632378231267916,0.052015386667149,0.0441259301621173,0.0768761652456173,0.0422328592482755,0.0373744744527528,0.0689303090443858,0.1498721213573364,0.0412448259025852,0.0385087659020426,0.0774645928082535,0.1462414782965038,0.0496776065332048,0.0750318867363555,0.1111029129074929,0.1369472252409059,0.0952223717625965,0.0716204475459517,0.0723626347843625,0.0615824436038111,0.0813804160615047,0.0857846546541201,0.0868249238008755,0.0946444590334998,0.0794106739164627,0.0530431973222502,0.0643454034255781,0.074191956456438,0.0961531793124033,0.1390811922651466,0.095910377485794,0.0653792226578305,0.0819984412197432,0.0196441094107788,0.0978313745702556,0.0400175142876462,0.0459326313794084,0.0648826457480952,0.0466809330936289,0.0491320984176274,0.073436845848015,0.0362030492179321,0.0362977491326932,0.0603385207275031,0.1416911813078299,0.0362814530304933,0.0422990166554464,0.0719653325824933,9.0,93.0,18.9984032,53.5,17.0,2.0,57.0,3.98,2.0,5.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,9.7075,1.97,0.0,15.0
Ne,0.1205315315315316,0.057545045045045,0.0798513513513513,0.053072072072072,0.0076171171171171,0.0024189189189189,0.0362792792792792,0.0651621621621621,0.1579054054054053,0.1602567567567566,0.0670450450450449,0.1450180180180179,0.122545045045045,0.0985765765765766,0.0599909909909909,0.066072072072072,0.06459009009009,0.0394481981981981,0.0367972972972972,0.0301238738738738,0.0356171171171171,0.039072072072072,0.0142117117117117,0.1103018018018018,0.0231036036036036,0.0208198198198198,0.0181846846846847,0.0159864864864864,0.0333963963963964,0.0256441441441441,0.0139369369369369,0.0214864864864864,0.022545045045045,0.4157612612612609,0.0175022522522522,0.0790067567567567,0.2519054054054055,0.1194588822176311,0.0328739146671803,0.0492432598640408,0.045881257791862,0.0804624017912594,0.1154684578524114,0.0433184912859249,0.0491939938763329,0.0850114675084494,0.1579856415706723,0.0872787258723003,0.1518810914677156,0.1542134433096694,0.1210081494968038,0.0571895102381378,0.0848731025543643,0.0841187835065647,0.102978666593706,0.1658008376389586,0.0970018502002888,0.0285572011463972,0.0442622799534682,0.0257061901692972,0.147850349621368,0.0272768681680683,0.0227330844963708,0.0244254973566845,0.0249780114291569,0.0386830255464777,0.0296797655270188,0.0260560714682627,0.0326432787472983,0.0277177554480136,0.4181225272338523,0.0266276297313756,0.0951299575857435,0.2292194537272247,10.0,99.0,20.1791,24.56,18.0,2.0,58.0,1.63,2.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.64,13.088,0.0,225.0
